Permutation,Candidates identified once (n),Candidates identified repeatedly (n),Proportion identified repeatedly
168,510,130,0.203125
169,509,140,0.21571648690292758
170,515,132,0.20401854714064915
171,506,145,0.2227342549923195
172,490,155,0.24031007751937986
173,508,130,0.20376175548589343
174,504,142,0.21981424148606812
175,499,145,0.2251552795031056
176,532,124,0.18902439024390244
177,497,137,0.21608832807570977
178,537,133,0.19850746268656716
179,516,132,0.2037037037037037
180,509,133,0.2071651090342679
181,504,131,0.2062992125984252
182,491,150,0.23400936037441497
183,500,130,0.20634920634920634
184,502,138,0.215625
185,505,135,0.2109375
186,516,139,0.21221374045801528
187,508,139,0.21483771251931993
188,508,141,0.2172573189522342
189,508,135,0.2099533437013997
190,473,151,0.2419871794871795
191,500,138,0.21630094043887146
192,511,137,0.21141975308641975
193,523,137,0.20757575757575758
194,510,136,0.21052631578947367
195,516,135,0.2073732718894009
196,514,133,0.20556414219474498
197,508,140,0.21604938271604937
198,521,127,0.19598765432098766
199,501,143,0.2220496894409938
200,504,133,0.2087912087912088
201,506,140,0.21671826625386997
202,479,151,0.2396825396825397
203,501,142,0.2208398133748056
204,506,140,0.21671826625386997
205,511,126,0.1978021978021978
206,486,144,0.22857142857142856
207,518,133,0.20430107526881722
208,505,128,0.20221169036334913
209,504,140,0.21739130434782608
210,479,144,0.23113964686998395
211,536,128,0.1927710843373494
212,492,145,0.22762951334379905
213,485,144,0.2289348171701113
214,498,140,0.219435736677116
215,500,146,0.2260061919504644
216,498,142,0.221875
217,532,124,0.18902439024390244
218,495,143,0.22413793103448276
219,505,134,0.20970266040688576
220,519,126,0.19534883720930232
221,482,154,0.24213836477987422
222,501,135,0.21226415094339623
223,491,151,0.235202492211838
224,496,140,0.22012578616352202
225,486,150,0.2358490566037736
226,529,129,0.196048632218845
227,511,136,0.21020092735703247
228,498,139,0.21821036106750394
229,466,150,0.2435064935064935
230,485,151,0.23742138364779874
231,512,132,0.20496894409937888
232,517,137,0.20948012232415902
233,498,143,0.22308892355694226
234,494,132,0.2108626198083067
235,507,127,0.20031545741324921
236,506,136,0.2118380062305296
237,525,135,0.20454545454545456
238,509,131,0.2046875
239,511,139,0.21384615384615385
240,502,138,0.215625
241,492,137,0.2178060413354531
242,501,144,0.22325581395348837
243,510,141,0.21658986175115208
244,517,141,0.21428571428571427
245,503,136,0.21283255086071987
246,502,133,0.2094488188976378
247,491,145,0.2279874213836478
248,503,128,0.20285261489698891
249,494,145,0.2269170579029734
250,496,138,0.21766561514195584
251,512,131,0.20373250388802489
252,488,137,0.2192
253,504,144,0.2222222222222222
254,482,150,0.23734177215189872
255,502,134,0.21069182389937108
256,519,133,0.20398773006134968
257,520,131,0.2012288786482335
258,529,129,0.196048632218845
259,530,123,0.1883614088820827
260,493,132,0.2112
261,512,136,0.20987654320987653
262,499,142,0.22152886115444617
263,491,150,0.23400936037441497
264,478,150,0.23885350318471338
265,516,144,0.21818181818181817
266,519,131,0.20153846153846153
267,518,138,0.21036585365853658
268,510,132,0.205607476635514
269,506,136,0.2118380062305296
270,507,131,0.20532915360501566
271,522,132,0.2018348623853211
272,514,129,0.2006220839813375
273,508,136,0.2111801242236025
274,489,150,0.2347417840375587
275,496,135,0.21394611727416799
276,501,137,0.21473354231974923
277,483,145,0.23089171974522293
278,505,134,0.20970266040688576
279,499,146,0.22635658914728682
280,514,138,0.2116564417177914
281,497,148,0.22945736434108527
282,502,129,0.20443740095087162
283,509,138,0.2132921174652241
284,484,151,0.2377952755905512
285,533,119,0.18251533742331288
286,497,139,0.21855345911949686
287,503,127,0.2015873015873016
288,496,150,0.23219814241486067
289,512,137,0.2110939907550077
290,498,145,0.2255054432348367
291,490,144,0.22712933753943218
292,539,127,0.1906906906906907
293,497,136,0.21484992101105846
294,515,130,0.20155038759689922
295,519,126,0.19534883720930232
296,509,143,0.21932515337423314
297,503,140,0.2177293934681182
298,493,138,0.21870047543581617
299,511,131,0.20404984423676012
300,485,145,0.23015873015873015
301,484,138,0.22186495176848875
302,488,144,0.22784810126582278
303,501,142,0.2208398133748056
304,509,134,0.208398133748056
305,483,149,0.23575949367088608
306,504,140,0.21739130434782608
307,523,134,0.2039573820395738
308,494,135,0.21462639109697934
309,500,139,0.21752738654147105
310,525,124,0.19106317411402157
311,515,129,0.20031055900621117
312,516,130,0.20123839009287925
313,486,146,0.2310126582278481
314,518,131,0.20184899845916796
315,501,135,0.21226415094339623
316,529,129,0.196048632218845
317,503,137,0.2140625
318,529,132,0.19969742813918306
319,499,139,0.21786833855799373
320,500,139,0.21752738654147105
321,521,137,0.20820668693009117
322,509,133,0.2071651090342679
323,495,140,0.2204724409448819
324,504,128,0.20253164556962025
325,509,143,0.21932515337423314
326,485,145,0.23015873015873015
327,507,135,0.2102803738317757
328,485,149,0.23501577287066247
329,509,140,0.21571648690292758
330,503,144,0.22256568778979907
331,518,137,0.20916030534351146
332,498,139,0.21821036106750394
333,494,144,0.22570532915360503
334,508,131,0.20500782472613457
335,516,122,0.19122257053291536
336,510,136,0.21052631578947367
337,505,137,0.21339563862928349
338,505,144,0.2218798151001541
339,512,135,0.20865533230293662
340,502,143,0.22170542635658916
341,514,128,0.19937694704049844
342,506,131,0.20565149136577707
343,508,131,0.20500782472613457
344,507,134,0.20904836193447737
345,488,145,0.22906793048973143
346,512,134,0.20743034055727555
347,491,138,0.21939586645468998
348,508,140,0.21604938271604937
349,484,153,0.2401883830455259
350,506,145,0.2227342549923195
351,504,137,0.21372854914196568
352,501,144,0.22325581395348837
353,520,132,0.20245398773006135
354,485,142,0.22647527910685805
355,496,141,0.22135007849293564
356,520,137,0.2085235920852359
357,510,140,0.2153846153846154
358,516,142,0.21580547112462006
359,512,137,0.2110939907550077
360,531,126,0.1917808219178082
361,503,139,0.21651090342679127
362,502,133,0.2094488188976378
363,499,140,0.2190923317683881
364,526,129,0.1969465648854962
365,508,145,0.222052067381317
366,515,131,0.20278637770897834
367,498,145,0.2255054432348367
368,485,146,0.23137876386687797
369,508,140,0.21604938271604937
370,487,146,0.23064770932069512
371,496,139,0.2188976377952756
372,512,140,0.2147239263803681
373,522,138,0.20909090909090908
374,527,128,0.19541984732824427
375,503,134,0.21036106750392464
376,509,133,0.2071651090342679
377,505,133,0.2084639498432602
378,521,130,0.19969278033794163
379,487,146,0.23064770932069512
380,486,150,0.2358490566037736
381,525,119,0.18478260869565216
382,502,136,0.21316614420062696
383,502,142,0.2204968944099379
384,492,138,0.21904761904761905
385,512,133,0.2062015503875969
386,506,136,0.2118380062305296
387,518,130,0.2006172839506173
388,491,142,0.22432859399684044
389,523,131,0.20030581039755352
390,497,141,0.22100313479623823
391,526,127,0.19448698315467075
392,516,131,0.20247295208655333
393,505,136,0.2121684867394696
394,500,130,0.20634920634920634
395,511,135,0.2089783281733746
396,499,138,0.21664050235478807
397,515,133,0.2052469135802469
398,492,137,0.2178060413354531
399,511,142,0.21745788667687596
400,530,143,0.212481426448737
401,526,130,0.19817073170731708
402,504,141,0.2186046511627907
403,521,129,0.19846153846153847
404,490,144,0.22712933753943218
405,514,130,0.20186335403726707
406,526,127,0.19448698315467075
407,503,140,0.2177293934681182
408,480,147,0.23444976076555024
409,511,136,0.21020092735703247
410,513,141,0.21559633027522937
411,498,138,0.2169811320754717
412,504,137,0.21372854914196568
413,506,139,0.21550387596899226
414,494,143,0.22448979591836735
415,493,144,0.2260596546310832
416,530,121,0.1858678955453149
417,503,136,0.21283255086071987
418,500,130,0.20634920634920634
419,469,155,0.2483974358974359
420,511,133,0.20652173913043478
421,512,139,0.21351766513056836
422,480,150,0.23809523809523808
423,482,149,0.23613312202852615
424,502,133,0.2094488188976378
425,480,149,0.2368839427662957
426,507,140,0.21638330757341576
427,490,139,0.22098569157392686
428,534,124,0.1884498480243161
429,523,133,0.2027439024390244
430,508,142,0.21846153846153846
431,507,129,0.2028301886792453
432,490,153,0.2379471228615863
433,532,118,0.18153846153846154
434,505,138,0.21461897356143078
435,513,135,0.20833333333333334
436,519,132,0.20276497695852536
437,508,134,0.2087227414330218
438,530,125,0.19083969465648856
439,518,127,0.19689922480620156
440,506,135,0.21060842433697347
441,489,145,0.22870662460567823
442,529,133,0.20090634441087613
443,514,137,0.21044546850998463
444,518,132,0.20307692307692307
445,481,137,0.22168284789644013
446,524,128,0.19631901840490798
447,511,133,0.20652173913043478
448,497,145,0.22585669781931464
449,490,145,0.2283464566929134
450,516,131,0.20247295208655333
451,502,140,0.21806853582554517
452,496,138,0.21766561514195584
453,533,125,0.1899696048632219
454,479,140,0.22617124394184168
455,502,135,0.2119309262166405
456,493,147,0.2296875
457,501,134,0.2110236220472441
458,480,153,0.24170616113744076
459,497,134,0.21236133122028525
460,494,140,0.22082018927444794
461,497,135,0.21360759493670886
462,508,135,0.2099533437013997
463,495,140,0.2204724409448819
464,497,147,0.22826086956521738
465,507,136,0.2115085536547434
466,522,119,0.1856474258970359
467,522,136,0.2066869300911854
468,517,135,0.20705521472392638
469,509,141,0.2169230769230769
470,512,139,0.21351766513056836
471,507,141,0.2175925925925926
472,525,119,0.18478260869565216
473,508,138,0.21362229102167182
474,492,141,0.22274881516587677
475,495,137,0.21677215189873417
476,507,128,0.2015748031496063
477,500,141,0.21996879875195008
478,513,134,0.2071097372488408
479,494,141,0.2220472440944882
480,494,150,0.2329192546583851
481,496,131,0.20893141945773525
482,503,137,0.2140625
483,506,140,0.21671826625386997
484,505,135,0.2109375
485,502,132,0.2082018927444795
486,526,130,0.19817073170731708
487,498,139,0.21821036106750394
488,522,132,0.2018348623853211
489,509,134,0.208398133748056
490,497,137,0.21608832807570977
491,495,145,0.2265625
492,501,136,0.21350078492935637
493,514,140,0.21406727828746178
494,511,137,0.21141975308641975
495,522,126,0.19444444444444445
496,505,138,0.21461897356143078
497,523,121,0.18788819875776397
498,501,141,0.21962616822429906
499,504,136,0.2125
500,517,132,0.2033898305084746
501,528,131,0.19878603945371776
502,486,146,0.2310126582278481
503,512,138,0.2123076923076923
504,515,141,0.2149390243902439
505,513,141,0.21559633027522937
506,497,142,0.2222222222222222
507,519,139,0.21124620060790272
508,509,135,0.2096273291925466
509,520,128,0.19753086419753085
510,523,129,0.19785276073619631
511,513,134,0.2071097372488408
512,515,130,0.20155038759689922
513,475,152,0.24242424242424243
514,513,129,0.20093457943925233
515,510,134,0.2080745341614907
516,517,132,0.2033898305084746
517,501,141,0.21962616822429906
518,487,149,0.23427672955974843
519,515,136,0.20890937019969277
520,495,144,0.22535211267605634
521,510,137,0.2117465224111283
522,506,138,0.21428571428571427
523,511,127,0.19905956112852666
524,507,138,0.21395348837209302
525,510,133,0.20684292379471228
526,486,146,0.2310126582278481
527,493,142,0.22362204724409449
528,520,123,0.19129082426127528
529,511,132,0.2052877138413686
530,506,134,0.209375
531,514,135,0.20801232665639446
532,487,144,0.22820919175911253
533,522,131,0.2006125574272588
534,495,146,0.22776911076443057
535,499,134,0.21169036334913113
536,516,135,0.2073732718894009
537,510,135,0.20930232558139536
538,510,135,0.20930232558139536
539,493,138,0.21870047543581617
540,513,137,0.21076923076923076
541,504,140,0.21739130434782608
542,499,137,0.21540880503144655
543,498,143,0.22308892355694226
544,516,134,0.20615384615384616
545,514,129,0.2006220839813375
546,505,134,0.20970266040688576
547,512,138,0.2123076923076923
548,522,130,0.19938650306748465
549,501,140,0.21840873634945399
550,517,130,0.2009273570324575
551,510,131,0.20436817472698907
552,516,132,0.2037037037037037
553,477,151,0.24044585987261147
554,501,146,0.22565687789799072
555,501,136,0.21350078492935637
556,509,140,0.21571648690292758
557,503,141,0.21894409937888198
558,510,140,0.2153846153846154
559,519,134,0.20520673813169985
560,497,147,0.22826086956521738
561,502,140,0.21806853582554517
562,509,142,0.21812596006144394
563,512,139,0.21351766513056836
564,504,144,0.2222222222222222
565,500,137,0.2150706436420722
566,499,128,0.20414673046251994
567,514,138,0.2116564417177914
568,484,137,0.22061191626409019
569,528,124,0.1901840490797546
570,496,142,0.2225705329153605
571,489,154,0.23950233281493002
572,506,140,0.21671826625386997
573,497,150,0.23183925811437403
574,492,146,0.22884012539184953
575,511,138,0.21263482280431434
576,497,144,0.22464898595943839
577,523,134,0.2039573820395738
578,507,135,0.2102803738317757
579,496,136,0.21518987341772153
580,515,132,0.20401854714064915
581,492,141,0.22274881516587677
582,515,134,0.20647149460708783
583,490,147,0.23076923076923078
584,526,134,0.20303030303030303
585,494,144,0.22570532915360503
586,513,141,0.21559633027522937
587,508,132,0.20625
588,507,136,0.2115085536547434
589,520,140,0.21212121212121213
590,515,132,0.20401854714064915
591,486,144,0.22857142857142856
592,492,145,0.22762951334379905
593,513,131,0.20341614906832298
594,491,146,0.22919937205651492
595,507,142,0.21879815100154082
596,511,140,0.21505376344086022
597,495,144,0.22535211267605634
598,487,144,0.22820919175911253
599,513,135,0.20833333333333334
600,509,137,0.21207430340557276
601,483,157,0.2453125
602,500,142,0.22118380062305296
603,502,132,0.2082018927444795
604,511,132,0.2052877138413686
605,496,142,0.2225705329153605
606,494,140,0.22082018927444794
607,506,136,0.2118380062305296
608,518,136,0.20795107033639143
609,496,150,0.23219814241486067
610,516,134,0.20615384615384616
611,491,141,0.2231012658227848
612,495,140,0.2204724409448819
613,510,131,0.20436817472698907
614,507,137,0.2127329192546584
615,496,137,0.21642969984202212
616,496,142,0.2225705329153605
617,498,143,0.22308892355694226
618,498,142,0.221875
619,486,146,0.2310126582278481
620,503,143,0.22136222910216719
621,501,138,0.215962441314554
622,494,137,0.21711568938193343
623,510,139,0.21417565485362094
624,501,146,0.22565687789799072
625,512,143,0.2183206106870229
626,504,132,0.20754716981132076
627,510,137,0.2117465224111283
628,487,148,0.23307086614173228
629,489,149,0.2335423197492163
630,498,129,0.20574162679425836
631,491,144,0.22677165354330708
632,513,142,0.216793893129771
633,486,144,0.22857142857142856
634,492,141,0.22274881516587677
635,507,140,0.21638330757341576
636,516,134,0.20615384615384616
637,501,137,0.21473354231974923
638,510,147,0.2237442922374429
639,488,143,0.2266244057052298
640,495,141,0.22169811320754718
641,519,131,0.20153846153846153
642,483,152,0.23937007874015748
643,495,145,0.2265625
644,497,142,0.2222222222222222
645,513,131,0.20341614906832298
646,531,135,0.20270270270270271
647,504,133,0.2087912087912088
648,494,143,0.22448979591836735
649,500,144,0.2236024844720497
650,514,137,0.21044546850998463
651,476,150,0.23961661341853036
652,510,136,0.21052631578947367
653,508,132,0.20625
654,510,141,0.21658986175115208
655,493,143,0.2248427672955975
656,494,137,0.21711568938193343
657,491,135,0.21565495207667731
658,490,150,0.234375
659,503,142,0.22015503875968992
660,504,142,0.21981424148606812
661,499,136,0.2141732283464567
662,509,132,0.2059282371294852
663,478,148,0.2364217252396166
664,492,139,0.2202852614896989
665,503,140,0.2177293934681182
666,479,145,0.23237179487179488
667,501,141,0.21962616822429906
668,504,134,0.21003134796238246
669,515,131,0.20278637770897834
670,530,129,0.19575113808801214
671,526,122,0.1882716049382716
672,514,131,0.20310077519379846
673,517,122,0.19092331768388107
674,525,137,0.20694864048338368
675,527,129,0.19664634146341464
676,510,136,0.21052631578947367
677,519,136,0.20763358778625954
678,497,139,0.21855345911949686
679,503,136,0.21283255086071987
680,503,144,0.22256568778979907
681,483,146,0.23211446740858505
682,505,136,0.2121684867394696
683,502,138,0.215625
684,509,135,0.2096273291925466
685,519,138,0.2100456621004566
686,493,145,0.22727272727272727
687,528,121,0.1864406779661017
688,498,150,0.23148148148148148
689,497,143,0.2234375
690,509,133,0.2071651090342679
691,501,141,0.21962616822429906
692,497,134,0.21236133122028525
693,508,136,0.2111801242236025
694,486,140,0.22364217252396165
695,510,139,0.21417565485362094
696,507,144,0.22119815668202766
697,502,137,0.21439749608763695
698,491,147,0.2304075235109718
699,502,142,0.2204968944099379
700,499,139,0.21786833855799373
701,498,141,0.22065727699530516
702,494,140,0.22082018927444794
703,508,148,0.22560975609756098
704,501,136,0.21350078492935637
705,503,140,0.2177293934681182
706,493,144,0.2260596546310832
707,508,138,0.21362229102167182
708,511,136,0.21020092735703247
709,507,142,0.21879815100154082
710,498,143,0.22308892355694226
711,489,148,0.23233908948194662
712,528,134,0.20241691842900303
713,524,132,0.20121951219512196
714,493,142,0.22362204724409449
715,511,135,0.2089783281733746
716,503,139,0.21651090342679127
717,519,125,0.19409937888198758
718,485,142,0.22647527910685805
719,507,144,0.22119815668202766
720,480,147,0.23444976076555024
721,506,137,0.2130637636080871
722,507,131,0.20532915360501566
723,497,142,0.2222222222222222
724,490,145,0.2283464566929134
725,515,132,0.20401854714064915
726,517,131,0.2021604938271605
727,470,162,0.2563291139240506
728,493,150,0.2332814930015552
729,511,131,0.20404984423676012
730,502,145,0.2241112828438949
731,489,143,0.22626582278481014
732,503,140,0.2177293934681182
733,513,134,0.2071097372488408
734,508,134,0.2087227414330218
735,514,132,0.2043343653250774
736,514,129,0.2006220839813375
737,490,148,0.23197492163009403
738,481,141,0.2266881028938907
739,479,148,0.23604465709728867
740,491,149,0.2328125
741,491,143,0.22555205047318613
742,500,141,0.21996879875195008
743,510,138,0.21296296296296297
744,508,136,0.2111801242236025
745,519,124,0.19284603421461896
746,508,136,0.2111801242236025
747,494,139,0.21958925750394945
748,514,134,0.20679012345679013
749,503,143,0.22136222910216719
750,496,137,0.21642969984202212
751,517,130,0.2009273570324575
752,503,140,0.2177293934681182
753,474,150,0.2403846153846154
754,500,140,0.21875
755,487,144,0.22820919175911253
756,481,146,0.23285486443381181
757,534,129,0.19457013574660634
758,525,129,0.19724770642201836
759,500,140,0.21875
760,521,132,0.20214395099540583
761,487,149,0.23427672955974843
762,499,142,0.22152886115444617
763,492,148,0.23125
764,502,138,0.215625
765,525,126,0.1935483870967742
766,524,138,0.2084592145015106
767,495,144,0.22535211267605634
768,494,133,0.21212121212121213
769,495,142,0.22291993720565148
770,502,131,0.20695102685624012
771,504,138,0.21495327102803738
772,513,128,0.1996879875195008
773,496,145,0.22620904836193448
774,498,138,0.2169811320754717
775,515,137,0.21012269938650308
776,506,141,0.21792890262751158
777,518,131,0.20184899845916796
778,504,141,0.2186046511627907
779,497,143,0.2234375
780,509,137,0.21207430340557276
781,488,147,0.231496062992126
782,503,131,0.20662460567823343
783,497,142,0.2222222222222222
784,504,132,0.20754716981132076
785,486,145,0.22979397781299524
786,503,137,0.2140625
787,515,138,0.2113323124042879
788,514,135,0.20801232665639446
789,494,138,0.21835443037974683
790,499,130,0.2066772655007949
791,483,141,0.22596153846153846
792,497,139,0.21855345911949686
793,513,138,0.2119815668202765
794,512,130,0.20249221183800623
795,558,112,0.16716417910447762
796,494,140,0.22082018927444794
797,524,134,0.20364741641337386
798,523,129,0.19785276073619631
799,489,141,0.22380952380952382
800,519,142,0.21482602118003025
801,487,145,0.22943037974683544
802,496,142,0.2225705329153605
803,525,126,0.1935483870967742
804,527,130,0.197869101978691
805,504,142,0.21981424148606812
806,523,127,0.19538461538461538
807,485,138,0.22150882825040127
808,501,143,0.2220496894409938
809,501,136,0.21350078492935637
810,508,136,0.2111801242236025
811,507,145,0.2223926380368098
812,480,151,0.2393026941362916
813,491,139,0.22063492063492063
814,504,136,0.2125
815,489,140,0.22257551669316375
816,504,137,0.21372854914196568
817,499,144,0.223950233281493
818,510,134,0.2080745341614907
819,507,145,0.2223926380368098
820,490,154,0.2391304347826087
821,512,131,0.20373250388802489
822,495,145,0.2265625
823,485,150,0.23622047244094488
824,536,122,0.18541033434650456
825,498,139,0.21821036106750394
826,491,143,0.22555205047318613
827,496,144,0.225
828,504,136,0.2125
829,496,138,0.21766561514195584
830,501,149,0.22923076923076924
831,543,124,0.18590704647676162
832,491,143,0.22555205047318613
833,498,141,0.22065727699530516
834,517,143,0.21666666666666667
835,484,154,0.2413793103448276
836,494,141,0.2220472440944882
837,505,129,0.20347003154574134
838,490,143,0.2259083728278041
839,509,144,0.22052067381316998
840,494,139,0.21958925750394945
841,505,135,0.2109375
842,518,129,0.19938176197836166
843,498,142,0.221875
844,517,133,0.20461538461538462
845,496,142,0.2225705329153605
846,521,128,0.19722650231124808
847,493,149,0.23208722741433022
848,524,133,0.2024353120243531
849,494,145,0.2269170579029734
850,504,140,0.21739130434782608
851,493,141,0.222397476340694
852,490,145,0.2283464566929134
853,513,140,0.21439509954058192
854,487,133,0.21451612903225806
855,512,139,0.21351766513056836
856,497,141,0.22100313479623823
857,489,133,0.21382636655948553
858,496,147,0.2286158631415241
859,495,141,0.22169811320754718
860,490,140,0.2222222222222222
861,508,140,0.21604938271604937
862,511,136,0.21020092735703247
863,499,134,0.21169036334913113
864,497,148,0.22945736434108527
865,508,136,0.2111801242236025
866,514,137,0.21044546850998463
867,515,135,0.2076923076923077
868,500,139,0.21752738654147105
869,511,135,0.2089783281733746
870,481,141,0.2266881028938907
871,497,140,0.21978021978021978
872,496,136,0.21518987341772153
873,515,142,0.2161339421613394
874,501,140,0.21840873634945399
875,489,148,0.23233908948194662
876,526,135,0.2042360060514372
877,499,141,0.2203125
878,524,133,0.2024353120243531
879,509,141,0.2169230769230769
880,492,142,0.22397476340694006
881,522,133,0.20305343511450383
882,492,135,0.215311004784689
883,493,153,0.23684210526315788
884,485,143,0.22770700636942676
885,510,144,0.22018348623853212
886,487,145,0.22943037974683544
887,508,137,0.2124031007751938
888,498,141,0.22065727699530516
889,506,145,0.2227342549923195
890,513,139,0.21319018404907975
891,525,134,0.20333839150227617
892,497,150,0.23183925811437403
893,504,137,0.21372854914196568
894,504,134,0.21003134796238246
895,498,149,0.2302936630602782
896,496,146,0.22741433021806853
897,513,131,0.20341614906832298
898,489,145,0.22870662460567823
899,511,137,0.21141975308641975
900,507,137,0.2127329192546584
901,514,137,0.21044546850998463
902,518,138,0.21036585365853658
903,505,144,0.2218798151001541
904,512,138,0.2123076923076923
905,497,144,0.22464898595943839
906,490,149,0.23317683881064163
907,495,145,0.2265625
908,519,129,0.19907407407407407
909,514,129,0.2006220839813375
910,513,132,0.20465116279069767
911,505,147,0.2254601226993865
912,511,141,0.21625766871165644
913,481,147,0.2340764331210191
914,526,129,0.1969465648854962
915,505,145,0.2230769230769231
916,504,141,0.2186046511627907
917,502,138,0.215625
918,495,148,0.2301710730948678
919,499,135,0.21293375394321767
920,497,145,0.22585669781931464
921,480,148,0.2356687898089172
922,490,143,0.2259083728278041
923,494,145,0.2269170579029734
924,522,130,0.19938650306748465
925,510,136,0.21052631578947367
926,490,141,0.22345483359746435
927,501,132,0.20853080568720378
928,514,123,0.19309262166405022
929,502,138,0.215625
930,505,140,0.21705426356589147
931,519,119,0.1865203761755486
932,523,125,0.19290123456790123
933,494,143,0.22448979591836735
934,496,140,0.22012578616352202
935,502,140,0.21806853582554517
936,506,138,0.21428571428571427
937,496,135,0.21394611727416799
938,490,143,0.2259083728278041
939,486,154,0.240625
940,492,143,0.2251968503937008
