analysis_identity_id,evidence_set_id,candidate_selected
A001787,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001788,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001789,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001790,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001791,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001792,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001793,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001794,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001795,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001796,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001797,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001798,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001799,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001800,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001801,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001802,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001803,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001804,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001805,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001806,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001807,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001808,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001809,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001810,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001811,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001812,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001813,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001814,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001815,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001816,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001817,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001818,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001819,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001820,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001821,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001822,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001823,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001824,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001825,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001826,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001827,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001828,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001829,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001830,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001831,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001832,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001833,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001834,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001835,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001836,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001837,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001838,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001839,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001840,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001841,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001842,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001843,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001844,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001845,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001846,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001847,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001848,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001849,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001850,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001857,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001858,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001859,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001860,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001861,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001862,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001863,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001864,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001865,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001866,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001867,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001868,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001869,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001870,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001871,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001872,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001873,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001874,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001875,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001876,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001877,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001878,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001879,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001880,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001881,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001882,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001883,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001884,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001885,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001886,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001887,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001888,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001889,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001890,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001891,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001892,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001893,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001894,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001895,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001896,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001897,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001898,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001899,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001900,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001901,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001902,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001903,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001904,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001905,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001906,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001907,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001908,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001909,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001910,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001911,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001912,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001913,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001914,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001915,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001916,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001917,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001918,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001919,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001920,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001921,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001922,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001923,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001924,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001925,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001926,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001927,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001928,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001929,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001930,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001931,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001932,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001933,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001934,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001935,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001936,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001937,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001938,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001939,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001940,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001941,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001942,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001943,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001944,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001945,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001946,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001947,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001948,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001949,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001950,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001951,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001952,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001953,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001954,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001955,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001956,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001957,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001958,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001959,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001960,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001961,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001962,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001963,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001964,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001965,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001966,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001967,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001968,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001969,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001970,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001971,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001972,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001973,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001974,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001975,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001976,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001977,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001978,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001979,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001980,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001981,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001982,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001983,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001984,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001985,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001986,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002176,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002177,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002178,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002179,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002180,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002181,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002182,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002183,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002184,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002185,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002186,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002187,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002188,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002189,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002190,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002191,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002192,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002363,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002376,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002377,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002378,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002379,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002380,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002381,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002382,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002383,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002384,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002385,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002386,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002387,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002388,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002389,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002390,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002391,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002392,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002393,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002394,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002395,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002396,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002397,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002408,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002778,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002819,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002820,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002821,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002822,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002823,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002824,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002825,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002826,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002827,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A002828,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002829,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A003407,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A003408,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A003409,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A003410,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A003412,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A002173,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002174,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002175,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002830,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002861,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002862,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002863,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002864,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002865,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002866,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002867,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002868,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002869,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002870,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002871,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002872,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002873,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002874,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002875,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002876,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002877,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002878,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002879,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002880,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002881,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002882,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002883,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002884,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002885,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002886,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002887,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002888,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002889,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002890,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002891,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002892,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002893,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002894,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002895,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002896,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002899,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002900,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002901,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002902,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002903,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002904,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002905,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002906,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002907,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002908,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002909,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002910,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002917,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002918,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002919,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002920,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002922,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002923,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002924,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002925,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002926,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002927,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002928,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002929,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002930,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002931,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002932,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002933,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002934,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002935,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002937,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002938,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002939,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002940,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002941,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002942,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002943,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002944,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002945,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002946,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002947,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,0
A002948,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002949,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A002993,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003042,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003043,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003044,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003045,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003046,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003047,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003048,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003050,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003051,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
A003052,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,1
