Measurement group identifier,Source identifier,Dataset identifier,Study identifier,Source file identifier,Disease or diseases,Source table or sheet,Measurements represented,Independent screen identifier,Relationship to other reports,Original measurement group identifier,Source link,Scientific basis for grouping
lineage:prom_chinese_downy_anthracnose_2007:all,prom_chinese_downy_anthracnose_2007,prom_chinese_downy_anthracnose_2007,prom_chinese_downy_anthracnose_2007,prom_chinese_downy_anthracnose_2007_pdf,Anthracnose; Downy mildew,main article Table 1; downy-mildew incidence and anthracnose reaction class,80 observations reported across endpoints and environments,experiment:prom_chinese_shared_panel_college_station_2005_2006_screening_program,Original report of these measurements,,https://www.ars.usda.gov/research/publications/publication/?seqNo115=207199,The 2007 and 2008 papers report the same 40 accessions screened at College Station in 2005 with closely matching designs. The results describe a panel selected after prior ergot screening.
lineage:prom_converted_lines_anthracnose_downy_2016:all,prom_converted_lines_anthracnose_downy_2016,prom_converted_lines_anthracnose_downy_2016,prom_converted_lines_anthracnose_downy_2016,prom_converted_lines_anthracnose_downy_2016_pdf,Anthracnose; Downy mildew,main article Table 1; anthracnose classes and downy-mildew incidence,260 observations reported across endpoints and environments,experiment:prom_converted_panel_texas_2008_2009,Original report of these measurements,,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,Shares the 2008--2009 converted-line campaign with the grain-biodeterioration paper; 59 converted lines and six checks are printed although the preceding aim sentence says 60 exotic sources.
lineage:prom_converted_lines_grain_biodeterioration_2016:all,prom_converted_lines_grain_biodeterioration_2016,prom_converted_lines_grain_biodeterioration_2016,prom_converted_lines_grain_biodeterioration_2016,prom_converted_lines_grain_biodeterioration_2016_pdf,Grain mold,main article Table 1; combined 2008--2009 line means,195 observations reported across endpoints and environments,experiment:prom_converted_panel_texas_2008_2009,Original report of these measurements,,https://doi.org/10.3923/ppj.2017.19.24,"Shares the 2008--2009 converted-line campaign and 62 exact labels with the foliar-disease paper, but reports distinct grain-mold measurements; five seed-weight measurements and one germination measurement are missing."
lineage:prom_dhurrin_head_smut_2025:disease_response,prom_dhurrin_head_smut_2025,,,,Head smut seedling spot,article disease-response values,Previously reported Senegal head-smut response evidence,experiment:prom_senegal_seedling_head_smut_p5_2022,Measurements also reported in an earlier source,lineage:prom_senegal_seedling_head_smut_p5_2022:all,https://www.mdpi.com/2223-7747/14/5/740,Reuses earlier Senegal head-smut phenotypes and adds a biochemical/mechanistic analysis
lineage:prom_differentials_other_diseases_niger_2020:all,prom_differentials_other_diseases_niger_2020,prom_differentials_other_diseases_niger_2020,prom_differentials_other_diseases_niger_2020,prom_differentials_other_diseases_niger_2020_pdf,Anthracnose; Bacterial leaf disease reported as streak or stripe; Leaf blight; Long smut; Oval leaf spot; Rough leaf spot; Target leaf spot; Zonate leaf spot,main article disease-by-differential tables and bacterial-disease footnote,249 observations reported across endpoints and environments,experiment:prom_niger_differentials_other_diseases_2018,Original report of these measurements,,https://doi.org/10.32861/jac.61.1.4,The source defines reported dashes as disease absence and uses both bacterial leaf streak and bacterial leaf stripe. Bagged-panicle results are aggregate.
lineage:prom_ergot_severity_mexico_us_2008:all,prom_ergot_severity_mexico_us_2008,prom_ergot_severity_mexico_us_2008,prom_ergot_severity_mexico_us_2008,prom_ergot_severity_mexico_us_2008_pdf,Ergot,main article Table 1; location-specific and overall ergot-severity means,36 observations reported across endpoints and environments,experiment:mexico_us_ergot_three_location_2002_2003,Original report of these measurements,,https://www.redalyc.org/articulo.oa?id=61226204,"The nine genotypes were selected using prior reaction and flowering similarity; the study supports a narrow genotype comparison within the selected panel. Table 1 prints ATx 634 whereas Methods and narrative say ATx635, so the table label differs from the label used in the Methods and narrative."
lineage:prom_ethiopia_anthracnose_2019:all,prom_ethiopia_anthracnose_2019,prom_ethiopia_anthracnose_2019,prom_ethiopia_anthracnose_2019,ethiopian_anthracnose_2019_xlsx,Anthracnose,Supplementary Tables 4-29-2019.xlsx,Public accession-by-environment table available,experiment:prom_ethiopia_anthracnose_2019,Original report of these measurements,,https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Cuevas_Prom_and_Cruet-Burgos_2019/8127200,Original Ethiopian anthracnose evidence; reused in SC112 Table S5 and other combined analyses
lineage:prom_ethiopia_anthracnose_subset_2022:all,prom_ethiopia_anthracnose_subset_2022,prom_ethiopia_anthracnose_subset_2022,prom_ethiopia_anthracnose_subset_2022,prom_ethiopia_anthracnose_subset_2022_pdf,Anthracnose,main article accession table; 2019 and 2020 ratings and reaction classes,388 observations reported across endpoints and environments,experiment:prom_ethiopia_subset_isabela_2019_2020,Original report of these measurements,,https://doi.org/10.4236/ajps.2022.1312095,"The Isabela experiments were conducted in 2019 and 2020; the Ethiopian study conducted from 2013 to 2018 is a separate experiment. The table reports 94 accessions plus three checks, one accession-prefix variation, and 30 dashes for 2020."
lineage:prom_ethiopia_anthracnose_weather_2010:all,prom_ethiopia_anthracnose_weather_2010,prom_ethiopia_anthracnose_weather_2010,prom_ethiopia_anthracnose_weather_2010,prom_ethiopia_anthracnose_weather_2010_pdf,Anthracnose,main article Table 3; genotype-by-year and two-year mean disease-progress measurements,48 observations reported across endpoints and environments,experiment:ethiopia_anthracnose_southern_ethiopia_2007_2008,Original report of these measurements,,https://doi.org/10.3923/ppj.2010.39.46,This disease-progress comparison describes the selected germplasm and environments. Table 3 reports two-year means as summaries of the two environments and spells the accession HarargheColl; the narrative uses a conflicting spelling.
lineage:prom_ethiopia_grain_mold_2024:all,prom_ethiopia_grain_mold_2024,prom_ethiopia_grain_mold_2024,prom_ethiopia_grain_mold_2024,ethiopian_grain_mold_2024_xlsx,Grain mold seed emergence; Seed deterioration,S1479262124000157sup001.xlsx,Public accession-level summary workbook available,experiment:prom_ethiopia_grain_mold_2024,Original report of these measurements,,https://www.cambridge.org/core/journals/plant-genetic-resources/article/association-analysis-of-grain-mould-resistance-in-a-core-collection-of-npgs-ethiopian-sorghum-germplasm/A26623540E4557FD66683B493B89DDA7,Original Ethiopian grain-mold experiment; collection overlaps Ethiopian anthracnose studies but disease evidence is distinct
lineage:prom_ethiopia_mali_fusarium_2013:all,prom_ethiopia_mali_fusarium_2013,prom_ethiopia_mali_fusarium_2013,prom_ethiopia_mali_fusarium_2013,prom_ethiopia_mali_fusarium_2013_pdf,Grain mold,main article Table 1; four measurements for 38 accessions and four controls,168 observations reported across endpoints and environments,experiment:prom_fusarium_grain_mold_panels_isabela_2006,Original report of these measurements,,https://jtropag.kau.in/index.php/ojs2/article/view/286,"The study used the same location, year, pathogen, and controls as the Sudan panel, but its panels and control values differ. The abstract and conclusion name different candidate sets, and both sets are documented."
lineage:prom_excised_leaf_screen_2015:all,prom_excised_leaf_screen_2015,prom_excised_leaf_screen_2015,prom_excised_leaf_screen_2015,prom_excised_leaf_screen_2015_pdf,Anthracnose,main article Table 1; paired laboratory and greenhouse reactions,48 observations reported across endpoints and environments,experiment:prom_excised_leaf_method_comparison_2015,Original report of these measurements,,https://doi.org/10.3923/ppj.2016.11.16,The paired laboratory and greenhouse assays form one method-comparison experiment.
lineage:prom_four_country_anthracnose_2012:all,prom_four_country_anthracnose_2012,prom_four_country_anthracnose_2012,prom_four_country_anthracnose_2012,prom_four_country_anthracnose_2012_pdf,Anthracnose,main article accession table; Texas yearly ratings and Puerto Rico rating,370 observations reported across endpoints and environments,experiment:prom_four_country_anthracnose_2007_2008_pr,Original report of these measurements,,https://doi.org/10.4236/ajps.2012.31014,"Exact accession, year, site, method, and value comparisons support a distinct experiment; only three accessions overlap the 2004 Mali table."
lineage:prom_grain_mold_differentials_pr_2023:all,prom_grain_mold_differentials_pr_2023,prom_grain_mold_differentials_pr_2023,prom_grain_mold_differentials_pr_2023,prom_grain_mold_differentials_pr_2023_pdf,Grain mold,main article Table 1; combined 2019--2020 measurements,69 observations reported across endpoints and environments,experiment:prom_grain_mold_differentials_pr_2019_2020,Original report of these measurements,,https://doi.org/10.4236/ajps.2023.1411081,"This differential-panel study characterizes pathogen responses across lines; Methods name BTx430 whereas the table contains QL3, and two Results values have an inconsistent unit."
lineage:prom_grain_mold_ml_2025:grain_mold,prom_grain_mold_ml_2025,,,,Grain mold,Article or corresponding source in Table S1,2020 Texas SAP grain-mold measurements used in the model,experiment:prom_sap_grain_mold_texas_2020,Measurements also reported in an earlier source,lineage:prom_sap_grain_mold_texas_2020:all,https://doi.org/10.1038/s41437-025-00783-9,Reanalysis of Prom 2020 Texas SAP grain-mold experiment
lineage:prom_haplotype_grain_mold_2026:anthracnose,prom_haplotype_grain_mold_2026,,,haplotype_grain_mold_2026_workbook,Anthracnose,122_2026_5222_MOESM1_ESM.xlsx,Anthracnose measurements (source column: Pheno_anthracnose),experiment:prom_sap_texas_anthracnose_2019,Measurements also reported in an earlier source,lineage:prom_sap_texas_anthracnose_2019:all,https://link.springer.com/article/10.1007/s00122-026-05222-9,"The source’s grain-mold measurements are from Prom et al. (2020), and its anthracnose measurements repeat those reported for the Texas association panel by Prom et al. (2019)."
lineage:prom_haplotype_grain_mold_2026:grain_mold,prom_haplotype_grain_mold_2026,,,haplotype_grain_mold_2026_workbook,Grain mold,122_2026_5222_MOESM1_ESM.xlsx,Grain-mold measurements (source column: Pheno_grainmold),experiment:prom_sap_grain_mold_texas_2020,Measurements also reported in an earlier source,lineage:prom_sap_grain_mold_texas_2020:all,https://link.springer.com/article/10.1007/s00122-026-05222-9,"The source’s grain-mold measurements are from Prom et al. (2020), and its anthracnose measurements repeat those reported for the Texas association panel by Prom et al. (2019)."
lineage:prom_head_smut_isolate_variability_2024:all,prom_head_smut_isolate_variability_2024,prom_head_smut_isolate_variability_2024,prom_head_smut_isolate_variability_2024,head_smut_isolate_variability_2024_xml,Head smut pathotype,main article Table 1,Line-level binary R/S values public in main Table 1; plant counts only on request,experiment:prom_head_smut_isolate_variability_2024,Original report of these measurements,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10820674/,Original greenhouse isolate-by-differential experiment
lineage:prom_head_smut_virulence_2011:all,prom_head_smut_virulence_2011,prom_head_smut_virulence_2011,prom_head_smut_virulence_2011,prom_head_smut_virulence_2011_pdf,Head smut,main article Tables 3-4; inoculation-method incidence and host-differential reactions,58 observations reported across endpoints and environments,experiment:prom_head_smut_32_texas_isolates_host_differentials,Original report of these measurements,,https://doi.org/10.1094/PDIS-10-10-0720,This study provides host-differential and pathotype evidence. Race 2 and race 3 reactions provide reference patterns; the source presents each observed isolate individually.
lineage:prom_leaf_blight_ml_2026:leaf_blight,prom_leaf_blight_ml_2026,,,,Leaf blight,Article or corresponding source in Table S1,Leaf-blight measurements from the 2022 Washington field experiment reused in the machine-learning analysis.,experiment:panelB_wa_leafblight,Measurements also reported in an earlier source,lineage:panelB_wa_leafblight:all,https://doi.org/10.3390/pathogens15040389,Reuses a subset of the leaf-blight measurements from the 2022 Washington field experiment.
lineage:prom_leaf_traits_anthracnose_2020:all,prom_leaf_traits_anthracnose_2020,prom_leaf_traits_anthracnose_2020,prom_leaf_traits_anthracnose_2020,prom_leaf_traits_anthracnose_2020_supplementary_table_s2_docx,Anthracnose,Supplementary Table S2 raw replicate-level sorghum leaf-tissue measurements,576 observations reported across endpoints and environments,experiment:ahn_sorghum_leaf_tissue_anthracnose_assay,Original report of these measurements,,https://doi.org/10.1038/s41598-020-79473-x,"The sorghum portion comprises Theis, QL3, and RTx2536; SH1247 is Johnsongrass. The tissue assay provides mechanistic context."
lineage:prom_lines_long_smut_grain_mold_2017:all,prom_lines_long_smut_grain_mold_2017,prom_lines_long_smut_grain_mold_2017,prom_lines_long_smut_grain_mold_2017,prom_lines_long_smut_grain_mold_2017_pdf,Grain mold; Long smut,main article Table 2; Bambey combined 2011--2012 values,46 observations reported across endpoints and environments,experiment:prom_senegal_long_smut_grain_mold_2011_2012,Original report of these measurements,,https://doi.org/10.3923/ijpp.2017.23.27,Table 2 provides Bambey values and a separate Nioro table provides that location's values; measurements from both locations form one independent screen. Table 2 and Methods list 23 accessions or lines whereas Results states 24.
lineage:prom_mali_anthracnose_2004:all,prom_mali_anthracnose_2004,prom_mali_anthracnose_2004,prom_mali_anthracnose_2004,prom_mali_anthracnose_2004_pdf,Anthracnose,main article Table 1; dry- and wet-season ratings,572 observations reported across endpoints and environments,experiment:prom_mali_anthracnose_isabela_2003,Original report of these measurements,,https://doi.org/10.3923/ppj.2004.65.71,"The source table lists 270 accession samples plus 16 controls, including six suffixed accession labels representing three duplicate seed-lot pairs. Quantitative summaries reflect the 270 printed accession samples; the source's selection accounting implies a different total."
lineage:prom_minicore_multidisease_2019:anthracnose,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,minicore_multidisease_2019_docx,Anthracnose,pone.0216671.s001.docx anthracnose column,Binary R/S classifications for the 2007-2008 greenhouse experiment,experiment:minicore_anthracnose_2007_2008,Measurements also reported in an earlier source,lineage:ref_prom_anthracnose_screening_method_2009:all,https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778,Original phenotype source reused by 2023 multi-trait and 2026 machine-learning studies
lineage:prom_minicore_multidisease_2019:downy_mildew,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,minicore_multidisease_2019_docx,Downy mildew,pone.0216671.s001.docx downy-mildew column,Binary R/S classifications from the Texas P6 experiment,experiment:minicore_downy_mildew_p6,Measurements also reported in an earlier source,lineage:ref_radwan_downy_mildew_p6_2011:all,https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778,Original phenotype source reused by 2023 multi-trait and 2026 machine-learning studies
lineage:prom_minicore_multidisease_2019:head_smut,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,minicore_multidisease_2019_docx,Head smut,pone.0216671.s001.docx head-smut column,Binary accession classifications from the 2011 greenhouse screen first reported here,experiment:minicore_head_smut_2011,Original report of these measurements,,https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778,Original phenotype source reused by 2023 multi-trait and 2026 machine-learning studies
lineage:prom_mozambique_anthracnose_2006:all,prom_mozambique_anthracnose_2006,prom_mozambique_anthracnose_2006,prom_mozambique_anthracnose_2006,prom_mozambique_anthracnose_2006_pdf,Anthracnose,main article Table 2; dry- and wet-season ratings and severity,96 observations reported across endpoints and environments,experiment:prom_mozambique_anthracnose_isabela_2004,Original report of these measurements,,https://doi.org/10.3923/ppj.2006.28.34,The source prints 22 accessions plus two controls and provides composite ratings; 34 severity measurements are missing.
lineage:prom_multitrait_reanalysis_2023:sheet1_grain_mold,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Grain mold,pathogens-2386562-supplementary.xlsx::Sheet1,Principal components derived from grain-mold measurements,experiment:prom_sap_grain_mold_texas_2020,Measurements also reported in an earlier source,lineage:prom_sap_grain_mold_texas_2020:all,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_multitrait_reanalysis_2023:sheet2_anthracnose,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Anthracnose,pathogens-2386562-supplementary.xlsx::Sheet2,Mini-core anthracnose component,experiment:minicore_anthracnose_2007_2008,Measurements also reported in an earlier source,lineage:ref_prom_anthracnose_screening_method_2009:all,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_multitrait_reanalysis_2023:sheet2_downy,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Downy mildew,pathogens-2386562-supplementary.xlsx::Sheet2,Mini-core downy-mildew component,experiment:minicore_downy_mildew_p6,Measurements also reported in an earlier source,lineage:ref_radwan_downy_mildew_p6_2011:all,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_multitrait_reanalysis_2023:sheet2_head_smut,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Head smut,pathogens-2386562-supplementary.xlsx::Sheet2,Mini-core head-smut component,experiment:minicore_head_smut_2011,Measurements also reported in an earlier source,lineage:prom_minicore_multidisease_2019:head_smut,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_multitrait_reanalysis_2023:sheet3_anthracnose,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Anthracnose,pathogens-2386562-supplementary.xlsx::Sheet3,Principal components derived from Senegal seedling anthracnose measurements,experiment:senegal_seedling_anthracnose,Measurements also reported in an earlier source,lineage:senegal_seedling_anthracnose:all,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_multitrait_reanalysis_2023:sheet4_head_smut,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Head smut seedling spot,pathogens-2386562-supplementary.xlsx::Sheet4,Principal components derived from Senegal seedling head-smut measurements,experiment:prom_senegal_seedling_head_smut_p5_2022,Measurements also reported in an earlier source,lineage:prom_senegal_seedling_head_smut_p5_2022:all,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_multitrait_reanalysis_2023:sheet5_anthracnose,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Anthracnose,pathogens-2386562-supplementary.xlsx::Sheet5,Combined Senegal anthracnose component,experiment:senegal_seedling_anthracnose,Measurements also reported in an earlier source,lineage:senegal_seedling_anthracnose:all,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_multitrait_reanalysis_2023:sheet5_head_smut,prom_multitrait_reanalysis_2023,,,multitrait_reanalysis_2023_zip,Head smut seedling spot,pathogens-2386562-supplementary.xlsx::Sheet5,Combined Senegal head-smut component,experiment:prom_senegal_seedling_head_smut_p5_2022,Measurements also reported in an earlier source,lineage:prom_senegal_seedling_head_smut_p5_2022:all,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values"
lineage:prom_panelA_correlation_2024:all,prom_panelA_correlation_2024,,,,Anthracnose; Grain mold; rust,main article and USDA data record,Puerto Rico disease measurements used in the correlation analysis,experiment:panelA_pr_multidisease,Measurements also reported in an earlier source,lineage:panelA_pr_multidisease:all,https://doi.org/10.5539/jps.v13n1p11,Reuses disease measurements from the 2017 to 2018 Puerto Rico experiment
lineage:prom_ql3_is18760_anthracnose_inheritance_2021:prom_ql3_is18760_anthracnose_inheritance_2021:prom_ql3_is18760_anthracnose_inheritance_2021_supplementary_table_s1_xlsx,prom_ql3_is18760_anthracnose_inheritance_2021,prom_ql3_is18760_anthracnose_inheritance_2021,prom_ql3_is18760_anthracnose_inheritance_2021,prom_ql3_is18760_anthracnose_inheritance_2021_supplementary_table_s1_xlsx,Anthracnose,Supplementary Table S1 field least-squares means and main article Table 4 nested pathotype subset,678 observations reported across endpoints and environments,experiment:cuevas_ql3_is18760_ril_field_and_nested_pathotype_study,Original report of these measurements,,https://doi.org/10.1038/s41598-021-99994-3,The 43-line greenhouse subset is nested within the two field populations; together the field and greenhouse measurements describe one independent screen. The source denotes 15 missing measurements with literal dots; measurements for individual lines from Florida and Georgia were unavailable in the reviewed materials.
lineage:prom_ql3_is18760_anthracnose_inheritance_2021:prom_ql3_is18760_anthracnose_inheritance_2021:prom_ql3_is18760_anthracnose_inheritance_2021_xml,prom_ql3_is18760_anthracnose_inheritance_2021,prom_ql3_is18760_anthracnose_inheritance_2021,prom_ql3_is18760_anthracnose_inheritance_2021,prom_ql3_is18760_anthracnose_inheritance_2021_xml,Anthracnose,Supplementary Table S1 field least-squares means and main article Table 4 nested pathotype subset,368 observations reported across endpoints and environments,experiment:cuevas_ql3_is18760_ril_field_and_nested_pathotype_study,Original report of these measurements,,https://doi.org/10.1038/s41598-021-99994-3,The 43-line greenhouse subset is nested within the two field populations; together the field and greenhouse measurements describe one independent screen. The source denotes 15 missing measurements with literal dots; measurements for individual lines from Florida and Georgia were unavailable in the reviewed materials.
lineage:prom_sap_anthracnose_2018:all,prom_sap_anthracnose_2018,,,,Anthracnose,tpg2plantgenome2017110099-sup-0001.xlsx,"The publisher page listed an accession-level supplement, but the file response was HTML on 14 July 2026",experiment:prom_sap_anthracnose_2018,Original report of these measurements,,https://acsess.onlinelibrary.wiley.com/doi/10.3835/plantgenome2017.11.0099,The source documents a distinct SAP anthracnose experiment; its design distinguishes it from the 2019 Texas study.
lineage:prom_sap_grain_mold_correlations_2021:grain_mold,prom_sap_grain_mold_correlations_2021,,,,Grain mold,main article tables,2020 Texas SAP grain-mold measurements used in the correlation analysis,experiment:prom_sap_grain_mold_texas_2020,Measurements also reported in an earlier source,lineage:prom_sap_grain_mold_texas_2020:all,https://doi.org/10.32861/jac.81.7.11,Reanalysis of the 2020 Texas SAP grain-mold inoculation experiment
lineage:prom_sap_grain_mold_snp_reanalysis_2021:grain_mold,prom_sap_grain_mold_snp_reanalysis_2021,,,,Grain mold,main article tables,2020 Texas SAP grain-mold measurements used in the association analysis,experiment:prom_sap_grain_mold_texas_2020,Measurements also reported in an earlier source,lineage:prom_sap_grain_mold_texas_2020:all,https://www.ars.usda.gov/research/publications/publication/?seqNo115=381329,Reanalysis of the 2020 Texas SAP grain-mold inoculation experiment
lineage:prom_sap_grain_mold_texas_2020:all,prom_sap_grain_mold_texas_2020,prom_sap_grain_mold_texas_2020_via_2026,prom_sap_grain_mold_texas_2020,sap_texas_grain_mold_2020_recovered_2026_xlsx,Grain mold inoculation,122_2026_5222_MOESM1_ESM.xlsx::Pheno_grainmold,"Accession-level means from the original study, provided in a later supplement.",experiment:prom_sap_grain_mold_texas_2020,Original report of these measurements,,https://link.springer.com/article/10.1007/s10658-020-02036-3,The later supplement republishes measurements from the 2020 grain-mold experiment; its anthracnose measurements repeat those reported for the Texas association panel by Prom et al. (2019).
