Bibliography identifier,Title,Year,DOI,Authors,Source platforms,Matching sources in Table S1 (n),Source identifiers in Table S1,Landing URLs,Maximum reference count reported by source metadata (n),Matching source identifiers,Role in this review,Review note,Reference-list source,References captured (n)
prombib_020,Claviceps africana Spore Germination as Influenced by Components of Sorghum Floral Extracts,2006,10.3923/ajppaj.2007.12.17,Louis K. Prom,Crossref; OpenAlex,2,10.3923/ajppaj.2007.12.17; https://openalex.org/W2051274655,https://doi.org/10.3923/ajppaj.2007.12.17,0,,Bibliographic context,,Bibliographic metadata,0
prombib_021,Ergot Response for the Sorghum Genotype IS8525,2006,10.3923/ppj.2006.216.220,Louis K. Prom; John E. Erpelding,Crossref; OpenAlex,2,10.3923/ppj.2006.216.220; https://openalex.org/W2021120341,https://doi.org/10.3923/ppj.2006.216.220,18,prom_ergot_is8525_2006,Linked to a source described in Table S1,,Publisher reference list,16
prombib_022,"Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination",2006,10.3923/ppj.2006.106.112,John E. Erpelding; Louis K. Prom,Crossref; OpenAlex,2,10.3923/ppj.2006.106.112; https://openalex.org/W2067659737,https://doi.org/10.3923/ppj.2006.106.112,22,prom_seed_mycoflora_pr_2006,Linked to a source described in Table S1,,Publisher reference list,20
prombib_023,"Variation for Anthracnose Resistance within the Sorghum Germplasm Collection from Mozambique, Africa",2006,10.3923/ppj.2006.28.34,John E. Erpelding; Louis K. Prom,Crossref; OpenAlex,2,10.3923/ppj.2006.28.34; https://openalex.org/W2090775053,https://doi.org/10.3923/ppj.2006.28.34,28,prom_mozambique_anthracnose_2006,Linked to a source described in Table S1,,Publisher reference list,28
prombib_024,Assessing the vulnerability of selected sorghum lines from the United States of America to long smut (Sporisorium ehrenbergii Vánky) disease,2007,10.1016/j.cropro.2007.03.011,Louis K. Prom; Ndiaga Cisse; Ousmane Ndoye,Crossref; OpenAlex,2,10.1016/j.cropro.2007.03.011; https://openalex.org/W2094219496,https://doi.org/10.1016/j.cropro.2007.03.011,18,prom_us_lines_long_smut_2007,Linked to a source described in Table S1,,Publisher reference list,18
prombib_025,Chinese sorghum germplasm evaluated for resistance to downy mildew and anthracnose,2007,,Louis K. Prom; John E. Erpelding; Noé Montes-García,OpenAlex,1,https://openalex.org/W184172012,http://agrobiol.sggw.pl/~cbcs/articles/CBCS_2_1_4.pdf,18,prom_chinese_downy_anthracnose_2007,Linked to a source described in Table S1,,OpenAlex citation links,18
prombib_026,"Diversidad Genética de Aislamientos de Cornezuelo (Claviceps africana Frederickson, Mantle y de Milliano) de Sorgo [Sorghum bicolor (L.) Moench.] en México",2007,,Víctor Pecina‐Quintero; Noé Montes-García; Héctor Williams-Alanís; Sanjuana Hernández‐Delgado; Netzahualcóyotl Mayek-Pérez; Louis K. Prom,OpenAlex,1,https://openalex.org/W1779921342,http://www.redalyc.org/articulo.oa?id=61225106,16,,Bibliographic context,,OpenAlex citation links,16
prombib_027,Effect of Storage Temperature and Sphacelium Age on Claviceps africana Conidia Survival,2007,10.3923/ppj.2007.312.317,Noé Montes-García; Thomas Isakeit; G. N. Odvody; Louis K. Prom; William L. Ronney,OpenAlex,1,https://openalex.org/W2075659169,https://doi.org/10.3923/ppj.2007.312.317,1,,Literature context for another crop,,Literature context,
prombib_028,"Disease Severity and Susceptibility of Sorghum [Sorghum bicolor (L.) Moench.] to Infection by Claviceps africana Frederickson, Mantle and de Milliano in Mexico and the United States of America",2008,,Noé Montes-García; Héctor Williams-Alanís; Louis K. Prom; Thomas Isakeit; G. N. Odvody; J. Narro-Sánchez; William L. Ronney,OpenAlex,1,https://openalex.org/W1662864960,http://scielo.unam.mx/pdf//rmfi/v26n2/v26n2a4.pdf,38,,Bibliographic context,,OpenAlex citation links,38
prombib_029,"Evaluation of Sorghum Germplasm from China against Claviceps africana , Causal Agent of Sorghum Ergot",2008,10.1094/php-2008-0519-01-rs,Louis K. Prom; John E. Erpelding; Noe Montes-Garcia,Crossref; OpenAlex; USDA NAL PubAg,3,10.1094/php-2008-0519-01-rs; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916265948607426; https://openalex.org/W2052325834,https://doi.org/10.1094/php-2008-0519-01-rs; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916265948607426,17,prom_china_ergot_2008,Linked to a source described in Table S1,,OpenAlex citation links,17
prombib_030,"Leaf-footed Bug, Leptoglossus phyllopus (Hemiptera: Coreidae), as a Potential Vector of Sorghum Fungal Pathogens",2008,10.3958/0147-1724-33.2.161,Louis K. Prom; Ramasamy Perumal,Crossref; OpenAlex; USDA NAL PubAg,3,10.3958/0147-1724-33.2.161; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915802898307426; https://openalex.org/W2087517353,https://doi.org/10.3958/0147-1724-33.2.161; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915802898307426,12,,Bibliographic context,,Publisher reference list,12
prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",2008,10.1007/s10681-008-9791-5,P. Ramasamy; Monica A. Menz; P. J. Mehta; Seriba Ousmane Katile; L. A. Gutierrez-Rojas; Robert R. Klein; Patricia E. Klein; Louis K. Prom; Jessica A. Schlueter; William L. Rooney; Clint Magill,Crossref; OpenAlex,2,10.1007/s10681-008-9791-5; https://openalex.org/W2126673750,https://doi.org/10.1007/s10681-008-9791-5,41,prom_cg1_anthracnose_mapping_2008,Linked to a source described in Table S1,,Publisher reference list,41
prombib_032,Mycotoxigenic Potential of Ten Fusarium species Grown on Sorghum and in vitro,2008,10.3923/ppj.2008.183.186,Thomas Isakeit; Louis K. Prom; Michael H. Wheeler; Lorraine S. Puckhab; Jinggao Liu,Crossref; OpenAlex,2,10.3923/ppj.2008.183.186; https://openalex.org/W2056345442,https://doi.org/10.3923/ppj.2008.183.186,23,,Bibliographic context,,Publisher reference list,22
prombib_033,"Severidad de la enfermedad y susceptibilidad del sorgo [Sorghum bicolor (L.) Moench.] a la infección por Claviceps africana Frederickson, Mantle y de Milliano en México y Los Estados Unidos de América",2008,,Noé Montes-García; Héctor Williams-Alanís; Louis K. Prom; Thomas Isakeit; G. N. Odvody; J. Narro-Sánchez; William L. Ronney,OpenAlex,1,https://openalex.org/W1545339672,http://www.scielo.org.mx/scielo.php?pid=S0185-33092008000200004&script=sci_arttext,0,,Bibliographic context,,Bibliographic metadata,0
prombib_034,Simple sequence repeat markers useful for sorghum downy mildew (Peronosclerospora sorghi) and related species.,2008,10.1186/1471-2156-9-77,Ramasamy Perumal; Padmavathi Nimmakayala; Saradha R. Erattaimuthu; Eun‐Gyu No; Umesh K. Reddy; Louis K. Prom; G. N. Odvody; Douglas G. Luster; Clint Magill,Crossref; OpenAlex; PubMed; USDA NAL PubAg,4,10.1186/1471-2156-9-77; 19040756; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915812371707426; https://openalex.org/W1968050313,https://doi.org/10.1186/1471-2156-9-77; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915812371707426; https://pubmed.ncbi.nlm.nih.gov/19040756/,63,prom_downy_mildew_markers_pathotypes_2008,Linked to a source described in Table S1,,Publisher reference list,63
prombib_035,A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose (Colletotrichum sublineolum) Resistance,2009,10.2174/1874331500903010020,Louis K. Prom; Ramasamy Perumal; John Erpelding; Thomas Isakeit; Noe Montes-Garcia; Clint W. Magill,Crossref; OpenAlex,2,10.2174/1874331500903010020; https://openalex.org/W2051319277,https://doi.org/10.2174/1874331500903010020,16,ref_prom_anthracnose_screening_method_2009,Linked to a source described in Table S1,,OpenAlex citation links,16
prombib_036,Effect of temperature and relative humidity on sorghum ergot development in northern Mexico,2009,10.1071/ap09049,Noé Montes-García; Louis K. Prom; Héctor Williams-Alanís; Thomas Isakeit,Crossref; OpenAlex,2,10.1071/ap09049; https://openalex.org/W2086755280,https://doi.org/10.1071/ap09049,24,,Bibliographic context,,Publisher reference list,20
prombib_037,Expression of pathogenesis-related protein PR-10 in sorghum floral tissues in response to inoculation with Fusarium thapsinum and Curvularia lunata.,2009,10.1111/j.1364-3703.2009.00580.x,Seriba Ousmane Katile; Ramasamy Perumal; William L. Rooney; Louis K. Prom; Clint Magill,Crossref; OpenAlex; PubMed; USDA NAL PubAg,4,10.1111/j.1364-3703.2009.00580.x; 20078779; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915652613407426; https://openalex.org/W1975676426,https://doi.org/10.1111/j.1364-3703.2009.00580.x; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915652613407426; https://pubmed.ncbi.nlm.nih.gov/20078779/,50,prom_pr10_grain_mold_defense_2009,Linked to a source described in Table S1,,Publisher reference list,50
prombib_038,NEW SOURCES OF GRAIN MOLD RESISTANCE AMONG SORGHUM ACCESSIONS FROM SUDAN,2009,,Louis K. Prom; John E. Erpelding,OpenAlex,1,https://openalex.org/W1571239444,https://doaj.org/article/0631ad81de1a4ab1be92e1b87d8f5266,0,prom_sudan_grain_mold_sources_2009,Linked to a source described in Table S1,,Bibliographic metadata,0
prombib_039,Respuesta de germoplasma de sorgo de Etiopía a la antracnosis.,2009,10.46429/jaupr.v93i3-4.5467,John E. Erpelding; Louis K. Prom,OpenAlex,1,https://openalex.org/W289973005,https://doi.org/10.46429/jaupr.v93i3-4.5467,13,prom_ethiopia_anthracnose_2009_spanish,Broader sorghum literature context,,Literature context,
prombib_040,Efecto de Fungicidas Sistémicos en el Control de la Micobiota Parasítica del Grano de Sorgo [Sorghum bicolor (L.) Moench],2010,,Noé Montes-García; Louis K. Prom; Noé Montes-Rodríguez; Miguel Ángel García-Gracia; Víctor Pecina‐Quintero; Arturo Díaz-Franco,OpenAlex,1,https://openalex.org/W1486698796,http://www.redalyc.org/articulo.oa?id=61218468008,0,,Broader sorghum literature context,,Literature context,
prombib_041,Effect of Host Genotypes and Weather Variables on the Severity and Temporal Dynamics of Sorghum Anthracnose in Ethiopia,2010,10.3923/ppj.2010.39.46,Alemayehu Chala; Tolcha Techane Alemu; Louis K. Prom; Anne Marte Tronsmo,Crossref; OpenAlex,2,10.3923/ppj.2010.39.46; https://openalex.org/W2019015180,https://doi.org/10.3923/ppj.2010.39.46,16,prom_ethiopia_anthracnose_weather_2010,Linked to a source described in Table S1,,Publisher reference list,16
prombib_042,Effect of Systemic Fungicides in the Control of Sorghum [Sorghum bicolor (L.) Moench] Grain Parasitic Mycoflora,2010,,Noé Montes-García; Louis K. Prom; Noé Montes-Rodríguez; Miguel Ángel García-Gracia; Víctor Pecina‐Quintero; Arturo Díaz-Franco,OpenAlex,1,https://openalex.org/W166896384,https://openalex.org/W166896384,0,,Bibliographic context,,Bibliographic metadata,0
prombib_043,"Response of sorghum accessions from Chad and Uganda to natural infection by the downy mildew pathogen, Peronosclerospora sorghi in Mexico and the USA",2010,10.1007/bf03356326,Louis K. Prom; Noé Montes-García; John E. Erpelding; Ramasamy Perumal; S. Medina-Ocegueda,Crossref; OpenAlex,2,10.1007/bf03356326; https://openalex.org/W18690695,https://doi.org/10.1007/bf03356326,17,prom_chad_uganda_downy_mildew_2010,Linked to a source described in Table S1,,Publisher reference list,17
prombib_044,Effect of chitinase and thaumatin on mycelial growth of five sorghum (Sorghum bicolor (L.) Moench) grain molding fungi under in vitro conditions,2011,,Louis K. Prom; Jonathan N. Egilla,OpenAlex,1,https://openalex.org/W2139756855,http://jtropag.kau.in/index.php/ojs2/article/download/242/242,4,,Bibliographic context,,OpenAlex citation links,4
prombib_045,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,2011,10.1016/j.cropro.2010.12.025,Louis K. Prom; Thomas Isakeit; Ramasamy Perumal; John E. Erpelding; William L. Rooney; Clint Magill,Crossref; OpenAlex; USDA NAL PubAg,3,10.1016/j.cropro.2010.12.025; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915792712307426; https://openalex.org/W2035567917,https://doi.org/10.1016/j.cropro.2010.12.025; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915792712307426,32,prom_uganda_grain_mold_anthracnose_2011,Linked to a source described in Table S1,,Publisher reference list,31
prombib_046,"Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype (P6) of Peronosclerospora sorghi Causing Downy Mildew",2011,10.1094/php-2011-0323-01-rs,Ghada L. Radwan; Ramasamy Perumal; Thomas Isakeit; Clint W. Magill; Louis K. Prom; Christopher R. Little,Crossref; OpenAlex; USDA NAL PubAg,3,10.1094/php-2011-0323-01-rs; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916294022507426; https://openalex.org/W2329185343,https://doi.org/10.1094/php-2011-0323-01-rs; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916294022507426,18,ref_radwan_downy_mildew_p6_2011,Linked to a source described in Table S1,,OpenAlex citation links,18
prombib_047,"Sorghum pathology and biotechnology - a fungal disease perspective: Part I. Grain mold, head smut, and ergot",2011,,Christopher R. Little; Ramasamy Perumal; Tesfaye Tesso; Louis K. Prom; G. N. Odvody; Clint Magill,OpenAlex,1,https://openalex.org/W2294438484,http://hdl.handle.net/2097/18396,104,,Bibliographic context,,OpenAlex citation links,104
prombib_048,Virulence and Molecular Genotyping Studies of Sporisorium reilianum Isolates in Sorghum.,2011,10.1094/pdis-10-10-0720,Louis K. Prom; Ramasamy Perumal; Saradha R. Erattaimuthu; John E. Erpelding; Noe Montes; Gary N. Odvody; Charles Greenwald; Zheyu Jin; Richard Frederiksen; Clint W. Magill,Crossref; OpenAlex; PubMed; USDA NAL PubAg,5,10.1094/pdis-10-10-0720; 30731955; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915608937807426; https://openalex.org/W2160721542; https://openalex.org/W3025019260,https://doi.org/10.1094/pdis-10-10-0720; https://eurekamag.com/research/066/250/066250120.php; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915608937807426; https://pubmed.ncbi.nlm.nih.gov/30731955/,27,prom_head_smut_virulence_2011,Linked to a source described in Table S1,,Publisher reference list,27
prombib_049,"Frequency and Diversity of Fungal Genera Contaminating the External Body Parts of Leaffooted Bug, Leptoglossus phyllopus (Heteroptera: Coreidae)",2012,10.2174/1874407901206010013,Louis K. Prom,OpenAlex,1,https://openalex.org/W2149145293,https://doi.org/10.2174/1874407901206010013,19,,Literature context for another crop,,Literature context,
prombib_050,Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum,2012,10.1007/s10658-012-9946-z,Louis K. Prom; Ramasamy Perumal; Saradha R. Erattaimuthu; Christopher R. Little; Eun‐Gyu No; John E. Erpelding; William L. Rooney; G. N. Odvody; Clint Magill,Crossref; OpenAlex,2,10.1007/s10658-012-9946-z; https://openalex.org/W1975590206,https://doi.org/10.1007/s10658-012-9946-z,44,prom_anthracnose_pathotypes_2012,Linked to a source described in Table S1,,Publisher reference list,43
prombib_051,Genetic diversity of sweet sorghum germplasm in Mexico using AFLP and SSR markers,2012,10.1590/s0100-204x2012000800009,"Pecina-Quintero, V.; Anaya-Lopez, J.; Zamarripa-Colmenero, A.; Montes-Garcia, N.; Nunez-Colin, C.; Solis-Bonilla, J.; Aguila-Rangel, M.; Prom, L.K.",Crossref; OpenAlex; USDA-ARS TEKTRAN,3,10.1590/s0100-204x2012000800009; 324138; https://openalex.org/W2069695667,https://doi.org/10.1590/s0100-204x2012000800009; https://www.ars.usda.gov/research/publications/publication/?seqNo115=324138,37,,Broader sorghum literature context,,Literature context,
prombib_052,Isolation and characterization of the grain mold fungi Cochliobolus and Alternaria spp. from sorghum using semiselective media and DNA sequence analyses.,2012,10.1139/cjm-2012-0649,Deanna L. Funnell-Harris; Louis K. Prom; Jeffrey F. Pedersen,Crossref; OpenAlex; PubMed; USDA NAL PubAg,4,10.1139/cjm-2012-0649; 23461515; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915615241907426; https://openalex.org/W1881638023,https://doi.org/10.1139/cjm-2012-0649; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915615241907426; https://pubmed.ncbi.nlm.nih.gov/23461515/,63,,Bibliographic context,,Publisher reference list,59
prombib_053,Reaction to Rust by a Subset of Sorghum Accessions from Zimbabwe,2012,10.3923/ajppaj.2012.33.40,Hugo E. Cuevas; Louis K. Prom; Clint Magill,Crossref; OpenAlex,2,10.3923/ajppaj.2012.33.40; https://openalex.org/W2323963418,https://doi.org/10.3923/ajppaj.2012.33.40,2,prom_zimbabwe_rust_2012,Linked to a source described in Table S1,,Publisher reference list,2
prombib_054,"Response of Sorghum Accessions from Four African Countries against Colletotrichum sublineolum, Causal Agent of Sorghum Anthracnose",2012,10.4236/ajps.2012.31014,Louis K. Prom; John E. Erpelding; Ramasamy Perumal; Thomas Isakeit; Hugo E. Cuevas,Crossref; OpenAlex,2,10.4236/ajps.2012.31014; https://openalex.org/W2119963164,https://doi.org/10.4236/ajps.2012.31014,12,prom_four_country_anthracnose_2012,Linked to a source described in Table S1,,Publisher reference list,12
prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",2012,,"Tesfaye Tesso; Ramasamy Perumal; Christopher R. Little; Adedayo Adeyanju; Radwan, Ghada L.; Louis K. Prom; Clint Magill",OpenAlex,1,https://openalex.org/W2291867975,http://hdl.handle.net/2097/18397,124,,Bibliographic context,,OpenAlex citation links,124
prombib_056,Assessment of molecular diversity and population structure of the Ethiopian sorghum [Sorghum bicolor (L.) Moench] germplasm collection maintained by the USDA–ARS National Plant Germplasm System using SSR markers,2013,10.1007/s10722-013-9956-5,Hugo E. Cuevas; Louis K. Prom,Crossref; OpenAlex; USDA NAL PubAg,3,10.1007/s10722-013-9956-5; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916294812507426; https://openalex.org/W1981165458,https://doi.org/10.1007/s10722-013-9956-5; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916294812507426,66,,Broader sorghum literature context,,Literature context,
prombib_057,"Effect of Fungicides on the Reaction of Sorghum Hybrids to Anthracnose in Burleson County, Texas, 2012",2013,,"Isakeit, T.; Collins, D.D.; Rooney, W.L.; Prom, L.K.",USDA-ARS TEKTRAN,1,293387,https://www.ars.usda.gov/research/publications/publication/?seqNo115=293387,0,,Bibliographic context,,Bibliographic metadata,0
prombib_058,Evaluation of sorghum accessions from Ethiopia and Mali against Fusarium thapsinum,2013,,Louis K. Prom; John E. Erpelding,OpenAlex,1,https://openalex.org/W1814644823,http://jtropag.kau.in/index.php/ojs2/article/download/286/286,0,prom_ethiopia_mali_fusarium_2013,Linked to a source described in Table S1,,Bibliographic metadata,0
