Source file ID,Source identifier,Source dataset identifier,File role,Acquisition status,Publication or repository page,Download URL,Published filename,Archive format,Archive member path,Access date,Download byte size,Download SHA-256,Archive member byte size,Archive member SHA-256,Required for quantitative analysis,Location of rights information,Notes
haplotype_grain_mold_2026_workbook,prom_haplotype_grain_mold_2026,,Supporting metadata,Verified,https://link.springer.com/article/10.1007/s00122-026-05222-9,https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-026-05222-9/MediaObjects/122_2026_5222_MOESM1_ESM.xlsx,122_2026_5222_MOESM1_ESM.xlsx,Single file,,2026-07-14,167958,8c17d617dac77811ff514bcc43060030702018fa3a7798a98587e317f5c842d0,,,Supporting source,Https://link.springer.com/article/10.1007/s00122-026-05222-9,The recorded SHA-256 identifies the source file used for this study.
head_smut_isolate_variability_2024_xml,prom_head_smut_isolate_variability_2024,prom_head_smut_isolate_variability_2024,Phenotype data,Verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10820674/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10820674/fullTextXML,PMC10820674.xml,Single file,,2026-07-14,91541,d54cad16c4e484f82c4d9abe7f6c40b281a52a8fe075fa93cec188bb7fdf4d7a,,,Used in quantitative calculations,Https://pmc.ncbi.nlm.nih.gov/articles/PMC10820674/,The recorded SHA-256 identifies the source file used for this study.
koima_kenya_anthracnose_2023_supplement_zip,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023,Supporting metadata,Verified,https://www.mdpi.com/2309-608X/9/1/100,https://mdpi-res.com/d_attachment/jof/jof-09-00100/article_deploy/jof-09-00100-s001.zip,jof-09-00100-s001.zip,Zip,Jof-2060908-supplementary.pdf,2026-07-14,301987,7472db34e38f61d648a2584dfb6415836ee400fda4921d20eadbc85215358538,313214,1ae26c8c0db7931dea0d8beb5402af5036e1d0291dffb2636f5c64e8a2ea7e80,Supporting source,Https://www.mdpi.com/2309-608X/9/1/100,The recorded SHA-256 values identify both the downloaded archive and the source file used for this study.
koima_kenya_anthracnose_2023_xml,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023,Phenotype data,Verified,https://www.mdpi.com/2309-608X/9/1/100,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9864066/fullTextXML,PMC9864066.xml,Single file,,2026-07-14,206083,486a6c796878c99e38025e63da34b1dea1fab2a0fb4764524ad2ebd32796149e,,,Used in quantitative calculations,Https://www.mdpi.com/2309-608X/9/1/100,The recorded SHA-256 identifies the source file used for this study.
mekonen_ethiopia_anthracnose_pathotypes_2024_xml,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,Phenotype data,Verified,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1458450/full,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1458450/xml/nlm,fmicb.2024.1458450.xml,Single file,,2026-07-14,147967,78af8376ea5a5275855a842f662f5ba916e22ed2b79c7fcc9a959177493fa909,,,Used in quantitative calculations,Https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1458450/full,The recorded SHA-256 identifies the source file used for this study.
mengistu_ethiopia_anthracnose_2021_s1_csv,ref_mengistu_ethiopia_anthracnose_2021,ref_mengistu_ethiopia_anthracnose_2021,Phenotype data,Verified,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261461,https://journals.plos.org/plosone/article/file?type=supplementary&id=info:doi/10.1371/journal.pone.0261461.s001,pone.0261461.s001.csv,Single file,,2026-07-14,6990,d00ca25ed2cca55dd3e82270f421196dc29ea2d634a127db5b4dfa2a3300807d,,,Used in quantitative calculations,Https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261461,The recorded SHA-256 identifies the source file used for this study.
minicore_multidisease_2019_docx,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,Phenotype data,Verified,https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778,https://ndownloader.figshare.com/files/15146012,pone.0216671.s001.docx,Single file,,2026-07-14,52681,87abfe0bc2f7c9cc33f27953074d9debc82517b5213b001315faf15a2ee937fe,,,Used in quantitative calculations,Https://plos.figshare.com/articles/journal_contribution/Genome_wide_association_analysis_of_sorghum_mini_core_lines_regarding_anthracnose_downy_mildew_and_head_smut/8125778,The recorded SHA-256 identifies the source file used for this study.
minicore_multidisease_reanalysis_2026_unrecovered_source,minicore_multidisease_reanalysis_2026,,Phenotype data,Source file identified but not retrieved,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-026-08468-z,https://static-content.springer.com/esm/art%3A10.1186%2Fs12870-026-08468-z/MediaObjects/12870_2026_8468_MOESM2_ESM.xlsx,12870_2026_8468_MOESM2_ESM.xlsx,Single file,,,,,,,Supporting source,Https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-026-08468-z,The 2019 report supplies the multidisease responses used in the 2026 reanalysis.
multitrait_reanalysis_2023_zip,prom_multitrait_reanalysis_2023,,Phenotype data,Verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,https://mdpi-res.com/d_attachment/pathogens/pathogens-12-00779/article_deploy/pathogens-12-00779-s001.zip,pathogens-12-00779-s001.zip,Zip,Pathogens-2386562-supplementary.xlsx,2026-07-14,51640,5e80adfea5640fadb610a2c3b99f6ecf02c755d2f4369d126742dadaa4cea6c1,54488,db845c41186adaccf9b7d76b3dac6eb7eb89f9cb2a6f7d4d5c612f3e5abf546f,Supporting source,Https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,The recorded SHA-256 values identify both the downloaded archive and the source file used for this study.
onegen_0022_burundi_anthracnose_pdf,ref_erpelding_burundi_anthracnose_2010,ref_erpelding_burundi_anthracnose_2010,Phenotype data,Verified,https://doi.org/10.5251/abjna.2010.1.6.1119.1125,https://doi.org/10.5251/abjna.2010.1.6.1119.1125,onegen_0022_anthracnose_disease_response_in_the_burundi_sorghum_germplasm_collection.pdf,Single file,,2026-07-14,89424,27e04ab6a09148c7692fd29a21a38eca8a0b9948c9d49388ae3ec872d35cb437,,,Used in quantitative calculations,Https://doi.org/10.5251/abjna.2010.1.6.1119.1125,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The PDF carries the 2010 ScienceHuβ copyright notice; redistribution follows the publisher terms.
onegen_0023_botswana_anthracnose_pdf,ref_erpelding_botswana_anthracnose_2011,ref_erpelding_botswana_anthracnose_2011,Phenotype data,Verified,https://doi.org/10.17221/34/2010-PPS,https://doi.org/10.17221/34/2010-PPS,erpelding_2011_botswana_anthracnose_10.17221_34_2010-PPS.pdf,Single file,,2026-07-14,423822,a4524902ca469b56e3f120194f905ab894f9336d43cd5b34a0a5d3e090cec3f2,,,Used in quantitative calculations,Https://doi.org/10.17221/34/2010-PPS,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The journal landing page states CC BY-NC 4.0.
onegen_0119_mopti_anthracnose_pdf,ref_erpelding_mopti_anthracnose_2010,ref_erpelding_mopti_anthracnose_2010,Phenotype data,Verified,https://doi.org/10.3844/ajabssp.2010.363.369,https://doi.org/10.3844/ajabssp.2010.363.369,onegen_0119_field_assessment_of_anthracnose_disease_response_for_the_sorghum_germplasm_collection_from.pdf,Single file,,2026-07-14,62827,2298b183a2e7983a73b1f091d7ac945125309bfa75cd1d46aea6981f6a74321d,,,Used in quantitative calculations,Https://doi.org/10.3844/ajabssp.2010.363.369,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The PDF carries the 2010 Science Publications copyright notice; redistribution follows the publisher terms.
onegen_0121_sikasso_anthracnose_pdf,ref_erpelding_sikasso_mali_anthracnose_2008,ref_erpelding_sikasso_mali_anthracnose_2008,Phenotype data,Verified,https://doi.org/10.2174/1874331500802010113,https://doi.org/10.2174/1874331500802010113,erpelding_2008_sikasso_anthracnose_10.2174_1874331500802010113.pdf,Single file,,2026-07-14,595220,87d71e0031bd89a068656a7bd8301d347c7c2cbb1917dab026926939ca4781ab,,,Used in quantitative calculations,Https://doi.org/10.2174/1874331500802010113,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: PDF copyright line explicitly states Creative Commons Attribution-Non-Commercial 3.0.
onegen_0166_barbosa_downy_mildew_pdf,ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,Phenotype data,Verified,https://www.scielo.br/j/fb/a/twF3m7JSNJbFjFcXZVFRmBk/,https://www.scielo.br/j/fb/a/twF3m7JSNJbFjFcXZVFRmBk/,onegen_0166_identification_of_sources_of_resistance_in_sorghum_to_peronosclerospora_sorghi.pdf,Single file,,2026-07-14,197007,caa79a851d4351d5a8f1a708a8dc986c3e91aa3af1a03d72978fd84b50530264,,,Used in quantitative calculations,Https://www.scielo.br/j/fb/a/twF3m7JSNJbFjFcXZVFRmBk/,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: SciELO provides public PDF access; redistribution follows the article and repository terms.
onegen_0179_redlan_inheritance_html,ref_erpelding_redlan_anthracnose_2007,ref_erpelding_redlan_anthracnose_2007,Phenotype data,Verified,https://scialert.net/fulltext/?doi=ppj.2007.187.190,https://scialert.net/fulltext/?doi=ppj.2007.187.190,onegen_0179.html,Single file,,2026-07-14,107201,2a9c42a93c310240c5165cc97e897af8f8fb95f7ac4688117a1a74fddd90b8b2,,,Used in quantitative calculations,Https://scialert.net/fulltext/?doi=ppj.2007.187.190,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The publisher provides public HTML access; redistribution follows the publisher terms.
onegen_0225_komolong_ergot_ovary_pdf,ref_komolong_ergot_ovary_2003,ref_komolong_ergot_ovary_2003,Phenotype data,Verified,https://era.dpi.qld.gov.au/id/eprint/10542/,https://era.dpi.qld.gov.au/id/eprint/10542/,onegen_0225_ovary_colonization_ergot_qld_repository.pdf,Single file,,2026-07-14,221575,27e58147d2dbdfc37f297c9fd615aaccea5f1730660a15b9786ac11138238374,,,Used in quantitative calculations,Https://era.dpi.qld.gov.au/id/eprint/10542/,"The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The PDF carries the 2003 BSPP and Wiley copyright terms; the Queensland repository provides public read access, and redistribution follows those terms."
onegen_0231_mali_anthracnose_gxe_pdf,ref_hess_mali_anthracnose_2002,ref_hess_mali_anthracnose_2002,Phenotype data,Verified,https://oar.icrisat.org/5090/,https://oar.icrisat.org/5090/,onegen_0231_pattern_analysis_anthracnose_mali_icrisat.pdf,Single file,,2026-07-14,237341,dde0e1546e7e3a3bf2ce5ed674cc6ad0920e59f0d0ef03cf7c10e44fd9d3e6fe,,,Used in quantitative calculations,Https://oar.icrisat.org/5090/,"The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The PDF carries the 2002 American Phytopathological Society copyright notice; ICRISAT provides public read access, and redistribution follows the publisher terms."
panelA_pr_multidisease_public_csv,panelA_pr_multidisease,panelA_pr_multidisease,Phenotype data,Verified,https://agdatacommons.nal.usda.gov/articles/dataset/25707396,https://ndownloader.figshare.com/files/45921822,Prom_LK_Data_2017_2018_Diseaase_traits.csv,Single file,,2026-07-14,63257,b5829c926e182b709df6096cfaf6a1581106e463ac4106241f2484148d0e64d0,,,Used in quantitative calculations,Https://agdatacommons.nal.usda.gov/articles/dataset/25707396,The recorded SHA-256 identifies the source file used for this study.
panelB_wa_leafblight_public_csv,panelB_wa_leafblight,panelB_wa_leafblight,Phenotype data,Verified,https://agdatacommons.nal.usda.gov/articles/dataset/25843822,https://ndownloader.figshare.com/files/46382200,Prom_GWAS_Leaf_Blight_2022.csv,Single file,,2026-07-14,17950,11db868ef72afd815e1b9757ab0e9e63d0334c4b48a9a1612183b167e590af7b,,,Used in quantitative calculations,Https://agdatacommons.nal.usda.gov/articles/dataset/25843822,The recorded SHA-256 identifies the source file used for this study.
prom_accession_anthracnose_grain_mold_2020_pdf,prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,Phenotype data,Verified,https://doi.org/10.9734/JEAI/2020/v42i130453,https://doi.org/10.9734/JEAI/2020/v42i130453,prom_accession_anthracnose_grain_mold_2020.pdf,Single file,,2026-07-14,240344,0a42f44d6ea147d60d2681b3864d33efdc767aa3041b1ca3584e2f9315eafd94,,,Used in quantitative calculations,Https://doi.org/10.9734/JEAI/2020/v42i130453,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: PDF page 11 CC BY 4.0 statement.
prom_accession_anthracnose_grain_mold_2020_unrecovered_source,prom_accession_anthracnose_grain_mold_2020,,Phenotype data,Bibliographic information only,https://doi.org/10.9734/jeai/2020/v42i130453,,main article tables,Single file,,,,,,,Supporting source,Https://doi.org/10.9734/jeai/2020/v42i130453,The source reports the accession-by-disease table. The source also describes disease-specific scales and inoculation context.
prom_agronomic_grain_mold_senegal_2026_pdf,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,Phenotype data,Verified,https://doi.org/10.4236/ajps.2026.173020,https://www.scirp.org/pdf/ajps_2606255.pdf,prom_agronomic_grain_mold_senegal_2026.pdf,Single file,,2026-07-14,1557737,347a6684e9d8320e368e5e5c2a75818ba5c14c397b5418ffbaf3b6ff869fe7d3,,,Used in quantitative calculations,Https://doi.org/10.4236/ajps.2026.173020,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: PDF page 1 states Creative Commons Attribution International License (CC BY 4.0).
prom_anthracnose_final_report_2018_unrecovered_source,prom_anthracnose_final_report_2018,,Phenotype data,Bibliographic information only,https://doi.org/10.2172/1901798,,project final report and linked records,Single file,,,,,,,Supporting source,Https://doi.org/10.2172/1901798,The report and linked records identify the original accession-level phenotype sources and publications based on the same measurements.
prom_anthracnose_pathotypes_2012_unrecovered_source,prom_anthracnose_pathotypes_2012,,Phenotype data,Bibliographic information only,https://doi.org/10.1007/s10658-012-9946-z,,main article tables,Single file,,,,,,,Supporting source,Https://doi.org/10.1007/s10658-012-9946-z,The source reports an isolate-by-differential matrix; the 2023 and 2024 pathotype studies report the corresponding isolate identities.
prom_anthracnose_screening_method_2009_pdf,ref_prom_anthracnose_screening_method_2009,,Methods,Verified,https://www.openagriculturejournal.com/VOLUME/3/PAGE/20/FULLTEXT/,https://www.openagriculturejournal.com/contents/volumes/V3/TOASJ-3-20/TOASJ-3-20.pdf,TOASJ-3-20.pdf,Single file,,2026-07-14,1532747,0d42d8378bc22d1952436c19bde58ed9c4b102055df6db43b314e73b4e36db81,,,Supporting source,Https://www.openagriculturejournal.com/VOLUME/3/PAGE/20/FULLTEXT/,The recorded SHA-256 identifies the source file used for this study.
prom_btx643_loose_kernel_smut_2017_unrecovered_source,prom_btx643_loose_kernel_smut_2017,,Other,Bibliographic information only,https://openalex.org/W3155500161,,main article tables,Single file,,,,,,,Supporting source,Https://openalex.org/W3155500161,BTx643 was evaluated against multiple loose-kernel-smut isolates; multi-accession screens supply comparative germplasm responses.
prom_burkina_south_africa_anthracnose_grain_mold_2015_unrecovered_source,prom_burkina_south_africa_anthracnose_grain_mold_2015,,Phenotype data,Bibliographic information only,https://doi.org/10.1016/j.cropro.2015.10.007,,main article tables,Single file,,,,,,,Supporting source,Https://doi.org/10.1016/j.cropro.2015.10.007,The source reports accession-by-disease values in disease-specific environments and scales.
prom_canopy_anthracnose_2026_unrecovered_source,prom_canopy_anthracnose_2026,,Phenotype data,Bibliographic information only,https://doi.org/10.1094/PDIS-04-26-0770-RE,,article and supplementary files,Single file,,,,,,,Supporting source,Https://doi.org/10.1094/PDIS-04-26-0770-RE,The source reports sorghum line severity for blade and midrib assays and observations of Johnsongrass.
prom_cg1_anthracnose_mapping_2008_unrecovered_source,prom_cg1_anthracnose_mapping_2008,,Phenotype data,Bibliographic information only,https://doi.org/10.1007/s10681-008-9791-5,,article tables,Single file,,,,,,,Supporting source,Https://doi.org/10.1007/s10681-008-9791-5,The source reports disease phenotypes for members of the mapping family.
prom_chad_uganda_downy_mildew_2010_unrecovered_source,prom_chad_uganda_downy_mildew_2010,,Phenotype data,Bibliographic information only,https://doi.org/10.1007/BF03356326,,main article tables,Single file,,,,,,,Supporting source,Https://doi.org/10.1007/BF03356326,The source reports accession-by-location incidence values.
prom_china_ergot_2008_pdf,prom_china_ergot_2008,prom_china_ergot_2008,Phenotype data,Verified,https://doi.org/10.1094/PHP-2008-0519-01-RS,https://apsjournals.apsnet.org/doi/10.1094/PHP-2008-0519-01-RS,prom_china_ergot_2008.pdf,Single file,,2026-07-14,142191,4ee5de50396871c58d2548e7e281adedee3d5f37c1f175a804abda3aacb89a1e,,,Used in quantitative calculations,Https://doi.org/10.1094/PHP-2008-0519-01-RS,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The publisher page and PDF carry copyright notices; redistribution follows the publisher terms.
prom_china_ergot_2008_unrecovered_source,prom_china_ergot_2008,,Phenotype data,Bibliographic information only,https://doi.org/10.1094/PHP-2008-0519-01-RS,,main article tables,Single file,,,,,,,Supporting source,Https://doi.org/10.1094/PHP-2008-0519-01-RS,The source reports the article tables. The source also describes the reported ergot endpoint and screening environment.
prom_chinese_downy_anthracnose_2007_pdf,prom_chinese_downy_anthracnose_2007,prom_chinese_downy_anthracnose_2007,Phenotype data,Verified,https://www.ars.usda.gov/research/publications/publication/?seqNo115=207199,http://agrobiol.sggw.pl/~cbcs/articles/CBCS_2_1_4.pdf,prom_chinese_downy_anthracnose_2007.pdf,Single file,,2026-07-14,178956,bb76da5a0df3e6dfbc7bfd51b9d5652fc0e8f14074cca5ae7c9e4675f88d2555,,,Used in quantitative calculations,Https://www.ars.usda.gov/research/publications/publication/?seqNo115=207199,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The PDF carries the journal copyright notice; redistribution follows the publisher terms.
prom_chinese_downy_anthracnose_2007_unrecovered_source,prom_chinese_downy_anthracnose_2007,,Phenotype data,Bibliographic information only,http://agrobiol.sggw.pl/~cbcs/articles/CBCS_2_1_4.pdf,,article PDF tables,Single file,,,,,,,Supporting source,Http://agrobiol.sggw.pl/~cbcs/articles/CBCS_2_1_4.pdf,The public accession-by-disease tables report anthracnose and downy-mildew responses for named accessions.
prom_commercial_field_fungal_diversity_2025_unrecovered_source,prom_commercial_field_fungal_diversity_2025,,Other,Bibliographic information only,https://doi.org/10.5539/jps.v14n1p10,,main article tables,Single file,,,,,,,Supporting source,Https://doi.org/10.5539/jps.v14n1p10,The study reports fungal diversity in commercial production fields; named-accession screens report germplasm-level disease responses.
prom_converted_lines_anthracnose_downy_2016_pdf,prom_converted_lines_anthracnose_downy_2016,prom_converted_lines_anthracnose_downy_2016,Phenotype data,Verified,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,prom_converted_lines_anthracnose_downy_2016.pdf,Single file,,2026-07-14,508379,3a2d6a3769c08a5669b024f898a176870086c7eb3465a22f877c9c34cdd3801d,,,Used in quantitative calculations,Https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The journal page states CC BY 4.0.
prom_converted_lines_anthracnose_downy_2016_unrecovered_source,prom_converted_lines_anthracnose_downy_2016,,Phenotype data,Bibliographic information only,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,,main article tables,Single file,,,,,,,Supporting source,Https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,The source reports anthracnose and downy-mildew responses for named lines on their original scales.
prom_converted_lines_grain_biodeterioration_2016_pdf,prom_converted_lines_grain_biodeterioration_2016,prom_converted_lines_grain_biodeterioration_2016,Phenotype data,Verified,https://doi.org/10.3923/ppj.2017.19.24,https://doi.org/10.3923/ppj.2017.19.24,prom_converted_lines_grain_biodeterioration_2016.pdf,Single file,,2026-07-14,270108,473176e5a3be22bb1a07eba3d054f234f31dc2d4f40e4a4f1b8f0e090b28a70d,,,Used in quantitative calculations,Https://doi.org/10.3923/ppj.2017.19.24,The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: PDF page 2 copyright statement.
