Citation relationship identifier,Search ID,Starting source identifier,Citing source identifier,Cited source identifier,Reference depth,Relationship,Reference locator,Reason for extended citation tracing,Recorded date,Notes
edge:minicore_multidisease_reanalysis_2026:prom_senegal_8leaf_anthracnose_2021:disease_screen,reference_review_minicore_ml2026_full_20260714,minicore_multidisease_reanalysis_2026,minicore_multidisease_reanalysis_2026,prom_senegal_8leaf_anthracnose_2021,1,Citation to a disease-screening study,reference CR61,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:minicore_multidisease_reanalysis_2026:senegal_seedling_anthracnose:disease_screen,reference_review_minicore_ml2026_full_20260714,minicore_multidisease_reanalysis_2026,minicore_multidisease_reanalysis_2026,senegal_seedling_anthracnose,1,Citation to a disease-screening study,reference CR62,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:minicore_multidisease_reanalysis_2026:ethiopian_field_anthracnose_multisite:disease_screen,reference_review_minicore_ml2026_full_20260714,minicore_multidisease_reanalysis_2026,minicore_multidisease_reanalysis_2026,ethiopian_field_anthracnose_multisite,1,Citation to a disease-screening study,reference CR63,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:ref_thakur_indian_anthracnose_populations_1998:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_thakur_indian_anthracnose_populations_1998,1,Citation to a disease-screening study,reference 9,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:ref_moore_arkansas_anthracnose_pathotypes_2008:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_moore_arkansas_anthracnose_pathotypes_2008,1,Citation to a disease-screening study,reference 10,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:prom_anthracnose_pathotypes_2012:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_anthracnose_pathotypes_2012,1,Citation to a disease-screening study,reference 11,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:prom_head_smut_virulence_2011:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_head_smut_virulence_2011,1,Citation to a disease-screening study,reference 14,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:ref_radwan_downy_mildew_p6_2011:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_radwan_downy_mildew_p6_2011,1,Citation to a disease-screening study,reference 15,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:ref_prom_anthracnose_screening_method_2009:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_prom_anthracnose_screening_method_2009,1,Citation to a disease-screening study,reference 16,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:prom_mali_anthracnose_2004:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_mali_anthracnose_2004,1,Citation to a disease-screening study,reference 17,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:prom_chad_uganda_downy_mildew_2010:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_chad_uganda_downy_mildew_2010,1,Citation to a disease-screening study,reference 19,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:prom_sap_anthracnose_2018:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,prom_sap_anthracnose_2018,1,Citation to a disease-screening study,reference 31,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:ref_sabbavarapu_foliar_qtl_2010:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_sabbavarapu_foliar_qtl_2010,1,Citation to a disease-screening study,reference 67,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:ref_biruma_anthracnose_loci_2012:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_biruma_anthracnose_loci_2012,1,Citation to a disease-screening study,reference 68,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_minicore_multidisease_2019:ref_upadhyaya_minicore_anthracnose_2013:disease_screen,reference_review_minicore2019_full_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_upadhyaya_minicore_anthracnose_2013,1,Citation to a disease-screening study,reference 71,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:senegal_seedling_anthracnose:original_source,reference_review_ahn2023_lineage_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,senegal_seedling_anthracnose,1,Citation to the original phenotype report,reference B10,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_multitrait_reanalysis_2023:prom_senegal_seedling_head_smut_p5_2022:original_source,reference_review_ahn2023_lineage_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_senegal_seedling_head_smut_p5_2022,1,Citation to the original phenotype report,reference B11,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_multitrait_reanalysis_2023:prom_sap_grain_mold_texas_2020:original_source,reference_review_ahn2023_lineage_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_sap_grain_mold_texas_2020,1,Citation to the original phenotype report,reference B12,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_multitrait_reanalysis_2023:prom_minicore_multidisease_2019:original_source,reference_review_ahn2023_lineage_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_minicore_multidisease_2019,1,Citation to the original phenotype report,reference B13,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_senegal_anthracnose_ml_2025:senegal_seedling_anthracnose:original_source,reference_review_senegal_ml2025_lineage_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,senegal_seedling_anthracnose,1,Citation to the original phenotype report,reference CR1,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_senegal_anthracnose_ml_2025:prom_senegal_8leaf_anthracnose_2021:original_source,reference_review_senegal_ml2025_lineage_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,prom_senegal_8leaf_anthracnose_2021,1,Citation to the original phenotype report,reference CR4,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:minicore_multidisease_reanalysis_2026:prom_minicore_multidisease_2019:original_source,reference_review_minicore_ml2026_lineage_20260714,minicore_multidisease_reanalysis_2026,minicore_multidisease_reanalysis_2026,prom_minicore_multidisease_2019,1,Citation to the original phenotype report,reference CR6,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_minicore_multidisease_2019:ref_radwan_downy_mildew_p6_2011:original_source,reference_review_minicore2019_lineage_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_radwan_downy_mildew_p6_2011,1,Citation to the original phenotype report,reference 15,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_minicore_multidisease_2019:ref_prom_anthracnose_screening_method_2009:original_source,reference_review_minicore2019_lineage_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_prom_anthracnose_screening_method_2009,1,Citation to the original phenotype report,reference 16,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_minicore_multidisease_2019:ref_upadhyaya_minicore_anthracnose_2013:original_source,reference_review_minicore2019_lineage_20260714,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,ref_upadhyaya_minicore_anthracnose_2013,1,Citation to the original phenotype report,reference 71,,2026-07-14,This citation identified an earlier publication reporting the underlying disease measurements.
edge:prom_minicore_multidisease_2019:ref_upadhyaya_minicore_anthracnose_2013:ref_sharma_minicore_foliar_diseases_2012:original_source,reference_review_minicore2019_via_upadhyaya2013_original_20260714,prom_minicore_multidisease_2019,ref_upadhyaya_minicore_anthracnose_2013,ref_sharma_minicore_foliar_diseases_2012,2,Citation to the original phenotype report,Upadhyaya et al. 2013 reference CR46,The 2013 association paper supplied the public phenotype workbook and cited Sharma et al. (2012) as the original phenotyping source. Both publications report measurements from the same experiment.,2026-07-14,The 2013 association paper supplied the public phenotype workbook and cited Sharma et al. (2012) as the original phenotyping source. Both publications report measurements from the same experiment.
