Source identifier,Date located,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Source file SHA-256,Published rights or license terms,Location of rights or license terms,Reuse permitted by published terms,Disease or diseases,Germplasm detail,Phenotype detail,Assay or field context,Relationship to measurements in other reports,Scientific use,Starting publication identifiers,Starting publication titles,Citation-tracing depth,Matching source identifiers
onegen_0104,2026-07-14,Evaluation of genetic mixtures of sorghum lines for anthracnose resistance management,Evaluation of genetic mixtures of sorghum lines for anthracnose resistance management,10.1590/s0100-41582005000500011,,,,2026-07-14,,,,,,,,,,Literature context,prombib_087,"Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose",1,
onegen_0105,2026-07-14,Evaluation of greenhouse inoculation techniques to screen sorghum for resistance to downy mildew,Evaluation of greenhouse inoculation techniques to screen sorghum for resistance to downy mildew,10.1007/bf00035938,,,,2026-07-14,,,,,,,,,,Literature context,prombib_145,"Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",1,
onegen_0106,2026-07-14,Evaluation of Malian Sorghum Germplasm for Resistance Against Anthracnose,Evaluation of Malian Sorghum Germplasm for Resistance Against Anthracnose (2004),10.3923/ppj.2004.65.71,https://doi.org/10.3923/ppj.2004.65.71,,main article tables,,,,Https://doi.org/10.3923/ppj.2004.65.71,,Anthracnose,Malian germplasm,Disease-response values for candidate accessions,,,Literature context,prombib_023; prombib_025; prombib_035; prombib_041; prombib_045; prombib_050; prombib_054; prombib_055; prombib_061; prombib_066; prombib_069; prombib_074; prombib_086; prombib_087; prombib_089; prombib_096; prombib_097; prombib_107; prombib_110; prombib_126,"A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose (Colletotrichum sublineolum) Resistance; Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.; Chinese sorghum germplasm evaluated for resistance to downy mildew and anthracnose; Effect of Host Genotypes and Weather Variables on the Severity and Temporal Dynamics of Sorghum Anthracnose in Ethiopia; Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance; Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum; Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14; Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose; Late growth stages of johnsongrass can act as an alternate host of Colletotrichum sublineola; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes; Response of Sorghum Accessions from Four African Countries against Colletotrichum sublineolum, Causal Agent of Sorghum Anthracnose; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew; The impact of weather conditions on response of sorghum genotypes to anthracnose (Colletotrichum sublineola) infection; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760; Variation for Anthracnose Resistance within the Sorghum Germplasm Collection from Mozambique, Africa",1,prom_mali_anthracnose_2004
onegen_0107,2026-07-14,Evaluation of Relationships Between Weather Patterns and Prevalence of Sorghum Ergot in the Texas Panhandle,Evaluation of Relationships Between Weather Patterns and Prevalence of Sorghum Ergot in the Texas Panhandle,10.1094/phyto.2002.92.6.659,,,,2026-07-14,,,,,,,,,,Literature context,prombib_019; prombib_028; prombib_036,"Disease Severity and Susceptibility of Sorghum [Sorghum bicolor (L.) Moench.] to Infection by Claviceps africana Frederickson, Mantle and de Milliano in Mexico and the United States of America; Effect of temperature and relative humidity on sorghum ergot development in northern Mexico; Survival of Claviceps africana Within Sorghum Panicles at Several Texas Locations.",1,
onegen_0108,2026-07-14,Evaluation of resistance in sorghum genotypes to the causal agent of anthracnose,"Buiate EAS. MSc dissertation, Universidade Federal de Lavras. 2009.",UFLA:handle/1/4224,https://repositorio.ufla.br/items/58707585-2c2b-48a8-9b1c-caaf6d0f85af,https://repositorio.ufla.br/bitstreams/b50fe041-1d15-49a1-bbc0-4c2987e9431f/download,onegen_0108_original_thesis.pdf,2026-07-14,c8c09d537b0034d382507bc80212922ae0690329a0511520e5ae9e4b64c6cfce,Public read access through the repository,UFLA dc.rights=acesso aberto,,Anthracnose,150 study-coded genotypes: 87 lines and 63 hybrids; 12 isolates,Dissertation tables give complete severity/latent-response matrices,Brazil field/controlled evaluations,The 2010 journal article reports measurements first published in this 2009 dissertation.,Descriptive scientific context,prombib_136,"Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust",1,
onegen_0109,2026-07-14,Evaluation of selected Ethiopian sorghum genotypes for resistance to anthracnose,Evaluation of selected Ethiopian sorghum genotypes for resistance to anthracnose,10.1007/s10658-021-02386-6,,,,2026-07-14,,,,,,,,,,Literature context,prombib_131,Evaluation of a subset of Ethiopia sorghum collection germplasm from the National Genetic Resources Program of the United States Department of Agriculture for anthracnose resistance,1,
onegen_0110,2026-07-14,"Evaluation of Selected Sorghum Lines and Hybrids for Resistance to Grain Mold and Long Smut Fungi in Senegal, West Africa","Evaluation of Selected Sorghum Lines and Hybrids for Resistance to Grain Mold and Long Smut Fungi in Senegal, West Africa (2014)",10.1094/PHP-RS-13-0128,https://doi.org/10.1094/PHP-RS-13-0128,,main article tables,,,,Https://doi.org/10.1094/PHP-RS-13-0128,,Grain mold; Long smut,Lines and hybrids,Disease-response values for candidate lines and hybrids,,,Literature context,prombib_077; prombib_081; prombib_088; prombib_105; prombib_171,"Agronomic traits of sorghum cultivars from the US and Senegal and their response to grain mold infection; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Grain biodeterioration of sorghum converted lines inoculated with a mixture of Fusarium thapsinum and Curvularia lunata; Mycoflora analysis and other measured parameters of sorghum seeds collected from Puerto Rico and Mexico; Screening of sorghum lines against long smut and grain mold pathogens",1,prom_senegal_grain_mold_long_smut_2014
onegen_0111,2026-07-14,Evaluation of sorghum accessions from Ethiopia and Mali against Fusarium thapsinum,Evaluation of sorghum accessions from Ethiopia and Mali against Fusarium thapsinum (2013),URL:http://jtropag.kau.in/index.php/ojs2/article/download/286/286,http://jtropag.kau.in/index.php/ojs2/article/download/286/286,,article PDF tables,,,,Http://jtropag.kau.in/index.php/ojs2/article/download/286/286,,Fusarium grain or stalk disease,Ethiopian and Malian accessions,Disease-response values for candidate accessions,,Distinct measurements from this study,Literature context,prombib_090; prombib_110,Response of sorghum lines and hybrids from the United States to long smut and grain mold; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens,1,prom_ethiopia_mali_fusarium_2013
onegen_0112,2026-07-14,Evaluation of sorghum genotypes for their reaction to major grain molds and mycotoxin-producing fungi in two climates of Ethiopia,Evaluation of sorghum genotypes for their reaction to major grain molds and mycotoxin-producing fungi in two climates of Ethiopia,10.1163/22238980-bja10050,,,,2026-07-14,,,,,,,,,,Literature context,prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",1,
onegen_0113,2026-07-14,Evaluation of sorghum germplasm resistance to anthracnose by Colletotrichum sublineolum in China,Evaluation of sorghum germplasm resistance to anthracnose by Colletotrichum sublineolum in China,10.1016/j.cropro.2020.105173,,,,2026-07-14,,,,,,,,,,Literature context,prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",1,
onegen_0114,2026-07-14,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance (2011),10.1016/j.cropro.2010.12.025,https://doi.org/10.1016/j.cropro.2010.12.025,,main article tables,,,,Https://doi.org/10.1016/j.cropro.2010.12.025,,Grain mold; anthracnose,Ugandan accessions,Disease-response values for candidate accessions,,,Literature context,prombib_055; prombib_061; prombib_069; prombib_086; prombib_089; prombib_098; prombib_105; prombib_106; prombib_109; prombib_112; prombib_126; prombib_136; prombib_141,"Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.; Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes; Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust; Response of the set of anthracnose differentials to other foliar and panicle diseases in Niger; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew; Survey of the prevalence and incidence of foliar and panicle diseases of sorghum across production fields in Niger; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760",1,prom_uganda_grain_mold_anthracnose_2011
onegen_0115,2026-07-14,Excised leaf method for high volume evaluation of sorghum germplasm for resistance against Colletotrichum sublineolum,Excised Leaf Method for High Volume Evaluation of Sorghum Germplasm for Resistance Against Colletotrichum sublineolum (2015),10.3923/ppj.2016.11.16,https://doi.org/10.3923/ppj.2016.11.16,,main article tables,,,,Https://doi.org/10.3923/ppj.2016.11.16,,Anthracnose,Sorghum germplasm,Disease-response values for candidates in the germplasm screen,,,Literature context,prombib_084; prombib_107; prombib_108; prombib_127; prombib_133; prombib_134; prombib_145,"Defense responses against the sorghum anthracnose pathogen in leaf blade and midrib tissue of johnsongrass and sorghum; Genome-wide association study of Senegalese sorghum seedlings responding to a Texas isolate of Colletotrichum sublineola.; Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina; Johnsongrass rhizome tissue can be infected by Colletotrichum sublineola; Late growth stages of johnsongrass can act as an alternate host of Colletotrichum sublineola; Leaf angle distribution in Johnsongrass, leaf thickness in sorghum and Johnsongrass, and association with response to Colletotrichum sublineola.; The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola",1,prom_excised_leaf_screen_2015
onegen_0116,2026-07-14,Expression of pathogenesis‐related protein PR‐10 in sorghum floral tissues in response to inoculation with Fusarium thapsinum and Curvularia lunata,Expression of pathogenesis-related protein PR-10 in sorghum floral tissues in response to inoculation with Fusarium thapsinum and Curvularia lunata (2009),10.1111/j.1364-3703.2009.00580.x,https://doi.org/10.1111/j.1364-3703.2009.00580.x,,main article tables,,,,Https://doi.org/10.1111/j.1364-3703.2009.00580.x,,Grain mold,Selected sorghum lines and floral tissues,Mechanistic protein-expression experiment used for biological context,Mechanistic context,Mechanistic experiment used for biological context,Literature context,prombib_064; prombib_077; prombib_105,"Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Grain biodeterioration of sorghum converted lines inoculated with a mixture of Fusarium thapsinum and Curvularia lunata",1,prom_pr10_grain_mold_defense_2009
onegen_0117,2026-07-14,Expression of Susceptibility to Fusarium Head Blight and Grain Mold in A 1 and A 2 Cytoplasms of Sorghum bicolor,Expression of Susceptibility to Fusarium Head Blight and Grain Mold in A 1 and A 2 Cytoplasms of Sorghum bicolor,10.1094/pdis.2003.87.2.172,,,,2026-07-14,,,,,,,,,,Literature context,prombib_052,Isolation and characterization of the grain mold fungi Cochliobolus and Alternaria spp. from sorghum using semiselective media and DNA sequence analyses.,1,
onegen_0118,2026-07-14,"Fernandes FT, Schaffert RE (1983) The reaction of several sorghum cultivars to a new race of sorghum downy mildew (Peronosclerospora sorghi) in southern Brazil in 1982–1983. Agron Abstr 27:63","Fernandes FT, Schaffert RE (1983) The reaction of several sorghum cultivars to a new race of sorghum downy mildew (Peronosclerospora sorghi) in southern Brazil in 1982–1983. Agron Abstr 27:63",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_063,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA",1,
onegen_0119,2026-07-14,Field Assessment of Anthracnose Disease Response for the Sorghum Germplasm Collection from the Mopti Region,Erpelding JE. American Journal of Agricultural and Biological Sciences. 2010;5:363-369.,10.3844/ajabssp.2010.363.369,https://doi.org/10.3844/ajabssp.2010.363.369,https://thescipub.com/pdf/ajabssp.2010.363.369.pdf,onegen_0119_field_assessment_of_anthracnose_disease_response_for_the_sorghum_germplasm_collection_from.pdf,2026-07-14,2298b183a2e7983a73b1f091d7ac945125309bfa75cd1d46aea6981f6a74321d,Public full text available,Article PDF,,Anthracnose,97 named Mopti accessions plus controls,Anthracnose responses for 97 named Mopti accessions and controls,Inoculated field evaluation,Distinct Mopti-region germplasm evaluation.,Descriptive scientific context,prombib_123; prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Pathogenic variability of Colletotrichum sublineolum isolates on sorghum differentials under greenhouse conditions in Jimma, Ethiopia",1,
onegen_0120,2026-07-14,Field evaluation of anthracnose disease response for the sorghum germplasm collection from the Kayes region of Mali,Field evaluation of anthracnose disease response for the sorghum germplasm collection from the Kayes region of Mali,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0121,2026-07-14,Field Evaluation of Anthracnose Resistance for Sorghum Germplasm from the Sikasso Region of Mali,Erpelding JE. The Open Agriculture Journal. 2008;2:113-120.,10.2174/1874331500802010113,https://openagriculturejournal.com/VOLUME/2/PAGE/113/FULLTEXT/,https://openagriculturejournal.com/VOLUME/2/PAGE/113/PDF/,erpelding_2008_sikasso_anthracnose_10.2174_1874331500802010113.pdf,2026-07-14,87d71e0031bd89a068656a7bd8301d347c7c2cbb1917dab026926939ca4781ab,Creative Commons Attribution-NonCommercial 3.0,"PDF copyright line; landing page now states CC BY 4.0, so the original PDF's more restrictive CC BY-NC 3.0 statement is used conservatively",Reuse permitted for noncommercial purposes,Anthracnose,132 named Mali landraces plus 13 named control genotypes,Table 1 publishes 2004 and 2005 1-5 ratings and susceptible-only severity percentages,"Inoculated field evaluations at Isabela, Puerto Rico in 2004 and 2005",,Descriptive scientific context,prombib_140,Genetic diversity and classification of Colletotrichum sublineola pathotypes using a standard set of sorghum differentials,1,
onegen_0122,2026-07-14,Field evaluation of foliar anthracnose disease response for sorghum germplasm from the Matabeleland North Province of Zimbabwe,Field evaluation of foliar anthracnose disease response for sorghum germplasm from the Matabeleland North Province of Zimbabwe,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0123,2026-07-14,Field reaction of sorghum germplasm to foliar and seed diseases.,Field reaction of sorghum germplasm to foliar and seed diseases.,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_073,Reaction of sorghum lines to zonate leaf spot and rough leaf spot,1,
onegen_0124,2026-07-14,Flavonoid Phytoalexin-Dependent Resistance to Anthracnose Leaf Blight Requires a Functional yellow seed1 in Sorghum bicolor,Flavonoid Phytoalexin-Dependent Resistance to Anthracnose Leaf Blight Requires a Functional yellow seed1 in Sorghum bicolor,10.1534/genetics.109.111831,,,,2026-07-14,,,,,,,,,,Literature context,prombib_061; prombib_149,Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.; Association analysis of grain mould resistance in a core collection of NPGS Ethiopian sorghum germplasm,1,
onegen_0125,2026-07-14,"Forbes, G. A. Characterization of grain mold resistance in sorghum (Sorghumbicolor(L.) Moench). Ph.D. Dissertation Texas A&M University, College Station, TX, 1986; 75 pp.","Forbes, G. A. Characterization of grain mold resistance in sorghum (Sorghumbicolor(L.) Moench). Ph.D. Dissertation Texas A&M University, College Station, TX, 1986; 75 pp.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_018,Role of chitinase and sormatin accumulation in the resistance of sorghum cultivars to grain mold.,1,
onegen_0126,2026-07-14,"Forbes GA (1986) Characterization of grain mold resistance in sorghum [Sorghum Bicolor (L.) Moench] (histology, fluorescence microscopy). Texas A&M University","Forbes GA (1986) Characterization of grain mold resistance in sorghum [Sorghum Bicolor (L.) Moench] (histology, fluorescence microscopy). Texas A&M University",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_161,The NPGS Sudanese sorghum core collection encloses novel grain mold resistant germplasm,1,
onegen_0127,2026-07-14,Frequency of Isolation of Four Fungal Species Colonizing Sorghum Grain Collected from Six Lines in an Anthracnose-Infected Field,Frequency of Isolation of Four Fungal Species Colonizing Sorghum Grain Collected from Six Lines in an Anthracnose-Infected Field (2023),10.32861/jac.91.137.140,https://doi.org/10.32861/jac.91.137.140,,main article tables,,,,Https://doi.org/10.32861/jac.91.137.140,,Seed mycoflora,Six sorghum lines,Fungal-isolation study used for mycological context,Fungal-community context,Fungal isolation frequency provides mycological context for disease screening,Literature context,prombib_147,Reaction of sorghum differentials to grain mold infection in Puerto Rico,1,prom_six_line_fungal_isolation_2023
onegen_0128,2026-07-14,"Gaffoor, I. et al. Performance of novel sorghum germplasm in Pennsylvania and their response to anthracnose. Crop Sci. 61(4), 2612–2627 (2021).",Gaffoor I et al. Crop Science. 2021;61:2612-2627.,10.1002/csc2.20486,https://doi.org/10.1002/csc2.20486,https://oar.icrisat.org/13037/1/Crop%20Science_61_4_2612-2627_2021.pdf,gaffoor_2021_pennsylvania_anthracnose_10.1002_csc2.20486.pdf,2026-07-14,3babc7aa4e67f8237d8c93c2b8515fb202925f4b9bf1ef732c9384294ad62fcc,,Public PDF in the ICRISAT repository,,Anthracnose,158 experimental lines and hybrids in the field screen; Table 3 reports a 35-line subset,"Main Table 3 publishes greenhouse and field 2016 median, mean, range, minimum, and maximum 1-9 severity for 35 named lines",,The Pennsylvania field and greenhouse experiments generated their own disease-response measurements.,Descriptive scientific context,prombib_126,The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760,1,
onegen_0129,2026-07-14,GBS-Based SNP Map Pinpoints the QTL Associated With Sorghum Downy Mildew Resistance in Maize (Zea mays L.),GBS-Based SNP Map Pinpoints the QTL Associated With Sorghum Downy Mildew Resistance in Maize (Zea mays L.),10.3389/fgene.2022.890133,,,,2026-07-14,,,,,,,,,,Literature context,prombib_158,Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew,1,
onegen_0130,2026-07-14,Genetic analysis of grain mold resistance in white seed sorghum genotypes,Genetic analysis of grain mold resistance in white seed sorghum genotypes,10.1007/s10681-005-0534-6,,,,2026-07-14,,,,,,,,,,Literature context,prombib_089; prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes",1,
onegen_0131,2026-07-14,Genetic and ontogenic analysis of anthracnose resistance in Sorghum bicolor (L.) Moench,Genetic and ontogenic analysis of anthracnose resistance in Sorghum bicolor (L.) Moench,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031; prombib_066; prombib_086,"Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14; Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0132,2026-07-14,Genetic basis of resistance to zonate leaf spot disease in forage sorghum,Genetic basis of resistance to zonate leaf spot disease in forage sorghum,10.1007/bf00260906,,,,2026-07-14,,,,,,,,,,Literature context,prombib_073,Reaction of sorghum lines to zonate leaf spot and rough leaf spot,1,
onegen_0133,2026-07-14,Genetic control of sorghum resistance to leaf anthracnose,Costa RV et al. Embrapa Milho e Sorgo Comunicado Tecnico 162. 2008.,Embrapa:doc/491777,https://www.infoteca.cnptia.embrapa.br/handle/doc/491777,https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/491777/1/Com162.pdf,onegen_0133_original_2008.pdf,2026-07-14,e4fc452c2e4f9270f83c4e25072e024407ada68e7c4f6fcaaf7b7c3fa15dd919,Public read access through the repository,Embrapa record states openAccess,,Anthracnose,Four named parent lines evaluated across six isolates,Tables 1 and 3 report parental R/S reactions; progeny tables report aggregate generation counts,Embrapa field/greenhouse inheritance experiment,The 2011 Plant Pathology article (10.1111/j.1365-3059.2011.02469.x) is a derivative publication of the 2008 bulletin experiment.,Descriptive scientific context,prombib_087; prombib_109,"Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose; Response of the set of anthracnose differentials to other foliar and panicle diseases in Niger",1,
onegen_0134,2026-07-14,Genetic Diversity Among Colletotrichum sublineolum Pathotypes Isolated From Sorghum (Sorghum bicolor),Genetic Diversity Among Colletotrichum sublineolum Pathotypes Isolated From Sorghum (Sorghum bicolor),10.18512/1980-6477/rbms.v5n2p304-318,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0135,2026-07-14,Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum,Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum (2012),10.1007/s10658-012-9946-z,https://doi.org/10.1007/s10658-012-9946-z,,main article tables,,,,Https://doi.org/10.1007/s10658-012-9946-z,,Anthracnose pathotype,Isolate-by-differential experiment,Disease-response values for candidate differential lines,,,Literature context,prombib_061; prombib_066; prombib_069; prombib_071; prombib_086; prombib_087; prombib_089; prombib_096; prombib_097; prombib_099; prombib_103; prombib_106; prombib_109; prombib_110; prombib_119; prombib_121; prombib_126; prombib_127; prombib_131; prombib_134; prombib_136; prombib_140; prombib_141; prombib_147,"Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.; Evaluation of a subset of Ethiopia sorghum collection germplasm from the National Genetic Resources Program of the United States Department of Agriculture for anthracnose resistance; Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan sorghum core collection; Excised leaf method for high volume evaluation of sorghum germplasm for resistance against Colletotrichum sublineolum; GWAS analysis of sorghum association panel lines identifies SNPs associated with disease response to Texas isolates of Colletotrichum sublineola; Genetic diversity and classification of Colletotrichum sublineola pathotypes using a standard set of sorghum differentials; Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel; Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut; Genome-wide association analysis for response of Senegalese sorghum accessions to Texas isolates of anthracnose; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; Inheritance and molecular mapping of anthracnose resistance genes present in sorghum line SC112-14; Inheritance of resistance of three sorghum lines to pathotypes of Colletotrichum sublineola, causal agent of anthracnose; Johnsongrass rhizome tissue can be infected by Colletotrichum sublineola; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes; RNA-Sequencing in Resistant (QL3) and Susceptible (Theis) Sorghum Cultivars Inoculated With Johnsongrass Isolates of Colletotrichum sublineola.; Reaction of sorghum differentials to grain mold infection in Puerto Rico; Response of sorghum accessions from three African countries to anthracnose, grain mould, and rust; Response of the set of anthracnose differentials to other foliar and panicle diseases in Niger; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760; The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola",1,prom_anthracnose_pathotypes_2012
onegen_0136,2026-07-14,Genetic Diversity of Colletotrichum sublineolum Isolates from a Single Field in Southern Ethiopia and Evidence for the Existence of MAT2 Genotypes in Different Parts of the Country,Genetic Diversity of Colletotrichum sublineolum Isolates from a Single Field in Southern Ethiopia and Evidence for the Existence of MAT2 Genotypes in Different Parts of the Country,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_140,Genetic diversity and classification of Colletotrichum sublineola pathotypes using a standard set of sorghum differentials,1,
onegen_0137,2026-07-14,Genetic mapping of sorghum resistance to an Illinois isolate of Colletotrichum sublineola,Khanal R et al. The Plant Genome. 2022.,10.1002/tpg2.20243,https://doi.org/10.1002/tpg2.20243,https://acsess.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Ftpg2.20243&file=tpg220243-sup-0002-SupplementalFileS1.xlsx,,2026-07-14,,Public full text or supplement available,Https://doi.org/10.1002/tpg2.20243,,Anthracnose,579 temperate-adapted sorghum conversion lines,"Public Supplemental File S1 is described as 2019, 2020, and combined BLUPs",Illinois isolate; 2019 and 2020 evaluations,Distinct Illinois-isolate experiment.,Literature context,prombib_145,"Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",1,
onegen_0138,2026-07-14,Genetic resistance to foliar anthracnose in sorghum and pathogenic variability in Colletotrichum graminicola,Genetic resistance to foliar anthracnose in sorghum and pathogenic variability in Colletotrichum graminicola,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055; prombib_127,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew; The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola",1,
onegen_0139,2026-07-14,Genetics of nonsenescence and charcoal rot resistance in sorghum,Genetics of nonsenescence and charcoal rot resistance in sorghum,10.1007/bf00220925,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
