Source identifier,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Reuse terms reported by source,Location of rights information,Use permitted by source terms,Disease or diseases,Germplasm described,Phenotype data described,Relationship to measurements in other reports,Evidence reviewed,Role in this study
prom_cg1_anthracnose_mapping_2008,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum","Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum (2008)",10.1007/s10681-008-9791-5,https://doi.org/10.1007/s10681-008-9791-5,,article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1007/s10681-008-9791-5,Source permission required for accession-level sharing,Anthracnose,Mapping parents and progeny,Family-level disease values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_chad_uganda_downy_mildew_2010,"Response of sorghum accessions from Chad and Uganda to natural infection by the downy mildew pathogen, Peronosclerospora sorghi in Mexico and the USA","Response of sorghum accessions from Chad and Uganda to natural infection by the downy mildew pathogen, Peronosclerospora sorghi in Mexico and the USA (2010)",10.1007/BF03356326,https://doi.org/10.1007/BF03356326,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1007/BF03356326,Source permission required for accession-level sharing,Downy mildew,Chad and Uganda accessions,Accession-by-location values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_china_ergot_2008,"Evaluation of Sorghum Germplasm from China against Claviceps africana, Causal Agent of Sorghum Ergot","Prom LK, Erpelding JE, Montes-García N. 2008. Plant Health Progress. doi:10.1094/PHP-2008-0519-01-RS.",10.1094/PHP-2008-0519-01-RS,https://doi.org/10.1094/PHP-2008-0519-01-RS,https://apsjournals.apsnet.org/doi/10.1094/PHP-2008-0519-01-RS,prom_china_ergot_2008.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1094/PHP-2008-0519-01-RS,Source permission required for accession-level sharing,Ergot,Chinese accession: 40; Resistant control: 3; Susceptible control: 1,The complete public table contains 352 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_chinese_downy_anthracnose_2007,Chinese sorghum germplasm evaluated for resistance to downy mildew and anthracnose,"Prom LK, Erpelding JE, Montes-García N. 2007. Communications in Biometry and Crop Science 2(1):26-31.",URL:https://www.ars.usda.gov/research/publications/publication/?seqNo115=207199,https://www.ars.usda.gov/research/publications/publication/?seqNo115=207199,http://agrobiol.sggw.pl/~cbcs/articles/CBCS_2_1_4.pdf,prom_chinese_downy_anthracnose_2007.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://www.ars.usda.gov/research/publications/publication/?seqNo115=207199,Source permission required for accession-level sharing,Anthracnose; Downy mildew,Accession: 40,The complete public table contains 80 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_commercial_field_fungal_diversity_2025,Agronomic Traits and Fungal Diversity between Commercial and Non-commercial Sorghum Fields,Agronomic Traits and Fungal Diversity between Commercial and Non-commercial Sorghum Fields (2025),10.5539/jps.v14n1p10,https://doi.org/10.5539/jps.v14n1p10,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.5539/jps.v14n1p10,Source permission required for accession-level sharing,Field fungal diversity,Observations from individually identified commercial and noncommercial production fields,Field and fungal-diversity comparisons; field and fungal-diversity context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_converted_lines_anthracnose_downy_2016,Assessing the Vulnerability of Sorghum Converted Lines to Anthracnose and Downy Mildew Infection,Prom LK et al. Journal of Agriculture and Crops 2(10) (2016): 101-106.,URL:https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,prom_converted_lines_anthracnose_downy_2016.pdf,2026-07-14,Creative Commons Attribution 4.0,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,Derived results may be shared under the stated terms,Anthracnose; Downy mildew,Check: 6; Converted line: 59,The complete public table contains 260 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_converted_lines_grain_biodeterioration_2016,Grain Biodeterioration of Sorghum Converted Lines Inoculated with a Mixture of Fusarium thapsinum and Curvularia lunata,Prom LK et al. Plant Pathology Journal 16 (2017): 19-24.,10.3923/ppj.2017.19.24,https://doi.org/10.3923/ppj.2017.19.24,https://doi.org/10.3923/ppj.2017.19.24,prom_converted_lines_grain_biodeterioration_2016.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2017.19.24,Source permission required for accession-level sharing,Grain mold,Resistant check: 3; Sorghum converted line: 59; Susceptible check: 2,The complete public table contains 195 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_crops_anthracnose_grain_mold_2024,"Association and Interrelationship Among Agronomic Traits and Fungal Diseases of Sorghum, Anthracnose and Grain Mold","Association and Interrelationship Among Agronomic Traits and Fungal Diseases of Sorghum, Anthracnose and Grain Mold (2024)",10.3390/crops4040045,https://www.mdpi.com/2673-7655/4/4/45,https://www.mdpi.com/article/10.3390/crops4040045/s1,Table S1: accession list only,,Creative Commons Attribution 4.0,https://www.mdpi.com/2673-7655/4/4/45,Derived results may be shared under the stated terms,Anthracnose; Grain mold,91 accessions/cultivars,Public supplement Table S1 is accession list only; disease values available only on reasonable request,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_cultivar_fungal_germination_2004,"The Effects of Fusarium thapsinum, Curvularia lunata, and Their Combination on Sorghum Germination and Seed Mycoflora","The Effects of Fusarium thapsinum, Curvularia lunata, and Their Combination on Sorghum Germination and Seed Mycoflora (2004)",10.1300/J153v06n01_03,https://doi.org/10.1300/J153v06n01_03,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1300/J153v06n01_03,Source permission required for accession-level sharing,Grain mold seed deterioration,Sorghum cultivars,The reviewed materials provide summarized cultivar germination and mycoflora results,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_cultivar_isolate_anthracnose_2021,The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola,The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola (2021),10.1016/j.pmpp.2021.101690,https://doi.org/10.1016/j.pmpp.2021.101690,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1016/j.pmpp.2021.101690,Source permission required for accession-level sharing,Anthracnose,Cultivar-by-isolate-mixture experiment,Cultivar-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_dhurrin_head_smut_2025,Unveiling the Potential Role of Dhurrin in Sorghum During Infection by the Head Smut Pathogen Sporisorium reilianum,Unveiling the Potential Role of Dhurrin in Sorghum During Infection by the Head Smut Pathogen Sporisorium reilianum (2025),10.3390/plants14050740,https://www.mdpi.com/2223-7747/14/5/740,,,,Creative Commons Attribution 4.0,https://www.mdpi.com/2223-7747/14/5/740,Derived results may be shared under the stated terms,Head smut,Limited Senegal accessions and checks,Disease responses were reused; HCN and RT-qPCR measurements represent separate biochemical outcomes,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_differentials_other_diseases_niger_2020,Response of the Set of Anthracnose Differentials to Other Foliar and Panicle Diseases in Niger,"Prom LK, Adamou I, Haougui A, Abdoulkadri AA, Karimou I, Ali OB, Magill C. Journal of Agriculture and Crops 6(1) (2020): 1-4.",10.32861/jac.61.1.4,https://doi.org/10.32861/jac.61.1.4,https://doi.org/10.32861/jac.61.1.4,prom_differentials_other_diseases_niger_2020.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.32861/jac.61.1.4,Derived results may be shared under the stated terms,Anthracnose; Bacterial leaf disease reported as streak or stripe; Leaf blight; Long smut; Oval leaf spot; Rough leaf spot; Target leaf spot; Zonate leaf spot,Anthracnose differential line: 18; Anthracnose resistant check differential: 1; Anthracnose susceptible check: 3,The complete public table contains 249 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_downy_mildew_markers_pathotypes_2008,Simple sequence repeat markers useful for sorghum downy mildew (Peronosclerospora sorghi) and related species,Simple sequence repeat markers useful for sorghum downy mildew (Peronosclerospora sorghi) and related species (2008),10.1186/1471-2156-9-77,https://doi.org/10.1186/1471-2156-9-77,,article and supplementary files,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1186/1471-2156-9-77,Source permission required for accession-level sharing,Downy mildew pathotype,The reviewed materials provide a partial list of pathogen isolates and host reactions,The reviewed materials provide a partial pathotype-by-differential summary,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_eight_cultivars_fungal_inoculation_2003,"Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi","Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi (2003)",10.1016/S0261-2194(02)00246-6,https://doi.org/10.1016/S0261-2194(02)00246-6,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1016/S0261-2194(02)00246-6,Source permission required for accession-level sharing,Grain mold seed deterioration,Eight sorghum cultivars,Cultivar-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_ergot_inoculation_genotypes_2005,Inoculation Techniques for Identifying Resistance in Sorghum Genotypes to Sorghum Ergot,Inoculation Techniques for Identifying Resistance in Sorghum Genotypes to Sorghum Ergot (2005),10.1300/J153v07n01_02,https://doi.org/10.1300/J153v07n01_02,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1300/J153v07n01_02,Source permission required for accession-level sharing,Ergot,Sorghum genotypes,Genotype-level disease values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_ergot_is8525_2006,Ergot Response for the Sorghum Genotype IS8525,Ergot Response for the Sorghum Genotype IS8525 (2006),10.3923/ppj.2006.216.220,https://doi.org/10.3923/ppj.2006.216.220,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2006.216.220,Source permission required for accession-level sharing,Ergot,"One named genotype, IS8525",Single-genotype disease-response experiment used for biological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_ergot_severity_mexico_us_2008,"Disease Severity and Susceptibility of Sorghum [Sorghum bicolor (L.) Moench.] to Infection by Claviceps africana Frederickson, Mantle and de Milliano in Mexico and the United States of America","Montes-García N, Williams-Alanís H, Prom LK, Isakeit T, Odvody G, Narro-Sánchez J, Ronney WL. 2008. Revista Mexicana de Fitopatología 26:121-126.",URL:https://www.redalyc.org/articulo.oa?id=61226204,https://www.redalyc.org/articulo.oa?id=61226204,https://www.redalyc.org/pdf/612/61226204.pdf,prom_ergot_severity_mexico_us_2008.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://www.redalyc.org/articulo.oa?id=61226204,Source permission required for accession-level sharing,Ergot,Hybrid: 6; Male sterile A line: 3,The complete public table contains 36 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_ethiopia_anthracnose_2009_spanish,Respuesta de germoplasma de sorgo de Etiopía a la antracnosis,Respuesta de germoplasma de sorgo de Etiopía a la antracnosis (2009),10.46429/jaupr.v93i3-4.5467,https://doi.org/10.46429/jaupr.v93i3-4.5467,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.46429/jaupr.v93i3-4.5467,Source permission required for accession-level sharing,Anthracnose,Ethiopian sorghum germplasm,Anthracnose responses summarized for selected candidate accessions,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_ethiopia_anthracnose_2019,Genome-Wide Association Mapping of Anthracnose Resistance in NPGS Ethiopian Sorghum Germplasm,Genome-Wide Association Mapping of Anthracnose Resistance in NPGS Ethiopian Sorghum Germplasm (2019),10.1534/g3.119.400350; 10.25387/g3.8127200.v2,https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Cuevas_Prom_and_Cruet-Burgos_2019/8127200,https://ndownloader.figshare.com/files/15147788,Supplementary Tables 4-29-2019.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Cuevas_Prom_and_Cruet-Burgos_2019/8127200,Derived results may be shared under the stated terms,Anthracnose,335 accessions reported; available phenotype sheet contains observations for 334 accessions,Public accession-by-environment table available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_ethiopia_anthracnose_pathotypes_2021,"Pathogenic variability of Colletotrichum sublineolum isolates on sorghum differentials under greenhouse conditions in Jimma, Ethiopia","Pathogenic variability of Colletotrichum sublineolum isolates on sorghum differentials under greenhouse conditions in Jimma, Ethiopia (2021)",10.1080/03235408.2021.1988842,https://doi.org/10.1080/03235408.2021.1988842,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1080/03235408.2021.1988842,Source permission required for accession-level sharing,Anthracnose pathotype,Differential-by-isolate experiment,Differential-by-isolate values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_ethiopia_anthracnose_subset_2022,Evaluation of a Subset of Ethiopia Sorghum Collection Germplasm from the National Genetic Resources Program of the United States Department of Agriculture for Anthracnose Resistance,"Prom LK, Cuevas HE, Ahn E, Isakeit T. American Journal of Plant Sciences 13 (2022): 1403-1411.",10.4236/ajps.2022.1312095,https://doi.org/10.4236/ajps.2022.1312095,https://doi.org/10.4236/ajps.2022.1312095,prom_ethiopia_anthracnose_subset_2022.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.4236/ajps.2022.1312095,Derived results may be shared under the stated terms,Anthracnose,Accession: 93; Accession with a printed label discrepancy: 1; Resistant check: 1; Susceptible check: 2,The complete public table contains 388 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_ethiopia_anthracnose_weather_2010,Effect of Host Genotypes and Weather Variables on the Severity and Temporal Dynamics of Sorghum Anthracnose in Ethiopia,"Chala A, Alemu T, Prom LK, Tronsmo AM. 2010. Plant Pathology Journal 9(1):39-46. doi:10.3923/ppj.2010.39.46.",10.3923/ppj.2010.39.46,https://doi.org/10.3923/ppj.2010.39.46,https://scialert.net/fulltext/?doi=ppj.2010.39.46,prom_ethiopia_anthracnose_weather_2010.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2010.39.46,Source permission required for accession-level sharing,Anthracnose,Local susceptible check: 1; Resistant line: 2; Universally susceptible cultivar: 1,The complete public table contains 48 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_ethiopia_grain_mold_2024,Association analysis of grain mould resistance in a core collection of NPGS Ethiopian sorghum germplasm,Association analysis of grain mould resistance in a core collection of NPGS Ethiopian sorghum germplasm (2024),10.1017/S1479262124000157,https://www.cambridge.org/core/journals/plant-genetic-resources/article/association-analysis-of-grain-mould-resistance-in-a-core-collection-of-npgs-ethiopian-sorghum-germplasm/A26623540E4557FD66683B493B89DDA7,https://static.cambridge.org/content/id/urn%3Acambridge.org%3Aid%3Aarticle%3AS1479262124000157/resource/name/S1479262124000157sup001.xlsx,S1479262124000157sup001.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://www.cambridge.org/core/journals/plant-genetic-resources/article/association-analysis-of-grain-mould-resistance-in-a-core-collection-of-npgs-ethiopian-sorghum-germplasm/A26623540E4557FD66683B493B89DDA7,Derived results may be shared under the stated terms,Grain mold seed emergence; Seed deterioration,330 uniquely labeled PI accessions,Public accession-level summary workbook available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_ethiopia_mali_fusarium_2013,Evaluation of sorghum accessions from Ethiopia and Mali against Fusarium thapsinum,"Prom LK, Erpelding JE. Journal of Tropical Agriculture 51(1-2) (2013): 92-97.",URL:https://jtropag.kau.in/index.php/ojs2/article/view/286,https://jtropag.kau.in/index.php/ojs2/article/view/286,http://jtropag.kau.in/index.php/ojs2/article/download/286/286,prom_ethiopia_mali_fusarium_2013.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://jtropag.kau.in/index.php/ojs2/article/view/286,Source permission required for accession-level sharing,Grain mold,Accession: 38; Resistant control: 2; Susceptible control: 2,The complete public table contains 168 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_excised_leaf_screen_2015,Excised Leaf Method for High Volume Evaluation of Sorghum Germplasm for Resistance Against Colletotrichum sublineolum,Prom LK et al. Plant Pathology Journal 15(1) (2016): 11-16.,10.3923/ppj.2016.11.16,https://doi.org/10.3923/ppj.2016.11.16,https://doi.org/10.3923/ppj.2016.11.16,prom_excised_leaf_screen_2015.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.3923/ppj.2016.11.16,Source permission required for accession-level sharing,Anthracnose,Line: 12; Resistant check: 1; Susceptible check: 3,The complete public table contains 48 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_four_country_anthracnose_2012,"Response of Sorghum Accessions from Four African Countries against Colletotrichum sublineolum, Causal Agent of Sorghum Anthracnose","Prom LK, Erpelding J, Perumal R, Isakeit T, Cuevas H. American Journal of Plant Sciences 3 (2012): 125-129.",10.4236/ajps.2012.31014,https://doi.org/10.4236/ajps.2012.31014,https://doi.org/10.4236/ajps.2012.31014,prom_four_country_anthracnose_2012.pdf,2026-07-14,Creative Commons Attribution 4.0,https://www.scirp.org/journal/paperinformation?paperid=16653,Derived results may be shared under the stated terms,Anthracnose,Accession: 72; Resistant control: 1; Susceptible control: 1,The complete public table contains 370 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_gambia_mali_downy_mildew_2014,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA","Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA (2014)",10.1007/s10327-014-0557-8,https://doi.org/10.1007/s10327-014-0557-8,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1007/s10327-014-0557-8,Source permission required for accession-level sharing,Downy mildew,Gambian and Malian germplasm,Accession-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_grain_mold_cultivars_2005,Role of Chitinase and Sormatin Accumulation in the Resistance of Sorghum Cultivars to Grain Mold,Role of Chitinase and Sormatin Accumulation in the Resistance of Sorghum Cultivars to Grain Mold (2005),10.1021/jf050367t,https://doi.org/10.1021/jf050367t,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1021/jf050367t,Source permission required for accession-level sharing,Grain mold,Sorghum cultivars,Disease-response values for individual candidate cultivars are presented with biochemical measurements,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
