source_registry_id,citation_key,full_citation,article_doi,repository_doi,landing_page_url,source_checksum_status,license_status,redistribution_status,license_evidence_locator
prom_sap_head_smut_p5_p6_2021,Prom et al. 2021,"Prom et al. (2021). Response of Sorghum Accessions against Newly Documented Pathotypes 5 and 6 of Head Smut Pathogen, Sporisorium reilianum. American Journal of Plant Sciences 12:432-443. https://doi.org/10.4236/ajps.2021.123028",10.4236/ajps.2021.123028,,https://doi.org/10.4236/ajps.2021.123028,verified,verified_cc_by_4_0,permitted,https://www.scirp.org/journal/paperinformation?paperid=108141
prom_sap_texas_anthracnose_2019,Prom et al. 2019,Prom et al. (2019). GWAS analysis of sorghum association panel lines identifies SNPs associated with disease response to Texas isolates of Colletotrichum sublineola. Theoretical and Applied Genetics 132:1389-1396. https://doi.org/10.1007/s00122-019-03285-5,10.1007/s00122-019-03285-5,,https://doi.org/10.1007/s00122-019-03285-5,verified,unresolved,unresolved,https://link.springer.com/article/10.1007/s00122-019-03285-5
prom_senegal_seed_quality_2018,Cuevas et al. 2018,Cuevas et al. (2018). Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes. PLOS ONE 13:e0191877. https://doi.org/10.1371/journal.pone.0191877,10.1371/journal.pone.0191877,,https://doi.org/10.1371/journal.pone.0191877,verified,verified_cc0_1_0,permitted,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5812598/fullTextXML
prom_senegal_seedling_head_smut_p5_2022,Ahn et al. 2022,Ahn et al. (2022). A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum. Plants 11:2999. https://doi.org/10.3390/plants11212999,10.3390/plants11212999,,https://doi.org/10.3390/plants11212999,verified,verified_cc_by_4_0,permitted,https://www.mdpi.com/2223-7747/11/21/2999
prom_sudan_anthracnose_2020,Cuevas and Prom 2020,"Cuevas and Prom (2020). Evaluation of genetic diversity, agronomic traits, and anthracnose resistance in the NPGS Sudan Sorghum Core collection. BMC Genomics 21:88. https://doi.org/10.1186/s12864-020-6489-0",10.1186/s12864-020-6489-0,10.6084/m9.figshare.11759763,https://doi.org/10.1186/s12864-020-6489-0,verified,verified_cc_by_4_0,permitted,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Evaluation_of_genetic_diversity_agronomic_traits_and_anthracnose_resistance_in_the_NPGS_Sudan_Sorghum_Core_collection/11759763
prom_sudan_rust_2025,Cuevas and Prom 2025,Cuevas and Prom (2025). The NPGS Sudan sorghum germplasm collection reveals a novel cluster of R genes associated with rust resistant. The Plant Genome 18:e70113. https://doi.org/10.1002/tpg2.70113,10.1002/tpg2.70113,,https://doi.org/10.1002/tpg2.70113,verified,verified_cc_by_4_0,permitted,https://pmc.ncbi.nlm.nih.gov/articles/PMC12438027/
prom_uganda_downy_mildew_2019,Kumi et al. 2019,Kumi et al. (2019). New sources of sorghum resistant genotypes to downy mildew disease in Uganda. Biodiversitas 20:3391-3397. https://doi.org/10.13057/biodiv/d201136,10.13057/biodiv/d201136,,https://doi.org/10.13057/biodiv/d201136,verified,unresolved,unresolved,https://doi.org/10.13057/biodiv/d201136
prom_weather_anthracnose_genotypes_2015,Prom et al. 2015,Prom et al. (2015). The Impact of Weather Conditions on Response of Sorghum Genotypes to Anthracnose (Colletotrichum sublineola) Infection. American Journal of Experimental Agriculture 6:242-250. https://doi.org/10.9734/AJEA/2015/14589,10.9734/AJEA/2015/14589,,https://doi.org/10.9734/AJEA/2015/14589,verified,verified_cc_by_4_0,permitted,https://doi.org/10.9734/AJEA/2015/14589
prom_zonate_leaf_spot_2021,Prom and Isakeit 2022,"Prom and Isakeit (2022). Incidence of Zonate Leaf Spot on Sorghum Accessions Under Disease-Conducive Growing Conditions Burleson County, Texas. Journal of Agriculture and Crops 8:35-38. https://doi.org/10.32861/jac.81.35.38",10.32861/jac.81.35.38,,https://doi.org/10.32861/jac.81.35.38,verified,verified_cc_by_4_0,permitted,https://doi.org/10.32861/jac.81.35.38
ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Aragaw and Terefe 2024,Aragaw and Terefe (2024). Response of sorghum genotypes to anthracnose (Colletotrichum sublineolum) resistance under field conditions in eastern Ethiopia. PLOS ONE 19:e0316016. https://doi.org/10.1371/journal.pone.0316016,10.1371/journal.pone.0316016,,https://doi.org/10.1371/journal.pone.0316016,verified,verified_cc_by_4_0,permitted,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016
ref_erpelding_mopti_anthracnose_2010,Erpelding 2010,Erpelding (2010). Field Assessment of Anthracnose Disease Response for the Sorghum Germplasm Collection from the Mopti Region. American Journal of Agricultural and Biological Sciences 5:363-369. https://doi.org/10.3844/ajabssp.2010.363.369,10.3844/ajabssp.2010.363.369,,https://doi.org/10.3844/ajabssp.2010.363.369,verified,unresolved,unresolved,https://doi.org/10.3844/ajabssp.2010.363.369
ref_erpelding_sikasso_mali_anthracnose_2008,Erpelding 2008,Erpelding (2008). Field Evaluation of Anthracnose Resistance for Sorghum Germplasm from the Sikasso Region of Mali. The Open Agriculture Journal 2:113-120. https://doi.org/10.2174/1874331500802010113,10.2174/1874331500802010113,,https://doi.org/10.2174/1874331500802010113,verified,verified_cc_by_nc_3_0,permitted_with_noncommercial_restriction,https://doi.org/10.2174/1874331500802010113
ref_girma_ethiopian_head_smut_2019,Girma et al. 2019,Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,10.3389/fpls.2019.00691,10.4231/PYQV-AT79,https://doi.org/10.3389/fpls.2019.00691,verified,verified_cc_by_3_0,permitted,https://purr.purdue.edu/publications/3189/1
senegal_seedling_anthracnose,Ahn et al. 2022,Ahn et al. (2022). Genome-wide association study of Senegalese sorghum seedlings responding to a Texas isolate of Colletotrichum sublineola. Scientific Reports 12:13025. https://doi.org/10.1038/s41598-022-16844-6,10.1038/s41598-022-16844-6,,https://doi.org/10.1038/s41598-022-16844-6,verified,verified_cc_by_4_0,permitted,https://www.nature.com/articles/s41598-022-16844-6
